,,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
nef_Ra,49,0.15278,0.09722,0.22222,0.33333,0.36111,0.375,0.40278,0.38889,0.375,0.40278,0.41667
nef_Ra,50,0.16438,0.16438,0.30137,0.30137,0.32877,0.34247,0.39726,0.39726,0.42466,0.41096,0.42466
nef_Ra,51,0.18056,0.13889,0.27778,0.30556,0.30556,0.30556,0.34722,0.34722,0.33333,0.375,0.36111
nef_Ra,52,0.13889,0.08333,0.33333,0.41667,0.43056,0.45833,0.41667,0.45833,0.40278,0.47222,0.47222
nef_Ra,53,0.18056,0.15278,0.30556,0.33333,0.36111,0.34722,0.38889,0.36111,0.41667,0.41667,0.41667
nef_Ra,54,0.10959,0.15068,0.26027,0.36986,0.38356,0.35616,0.35616,0.34247,0.35616,0.32877,0.36986
nef_Ra,55,0.22222,0.15278,0.31944,0.31944,0.375,0.43056,0.43056,0.43056,0.45833,0.45833,0.45833
nef_Ra,56,0.20833,0.15278,0.27778,0.375,0.44444,0.44444,0.45833,0.44444,0.44444,0.47222,0.51389
nef_Ra,57,0.18056,0.15278,0.34722,0.34722,0.375,0.43056,0.44444,0.43056,0.38889,0.41667,0.41667
nef_Ra,58,0.17808,0.16438,0.26027,0.31507,0.35616,0.38356,0.39726,0.39726,0.42466,0.42466,0.43836
nef_Ra,59,0.16667,0.16667,0.27778,0.33333,0.34722,0.33333,0.31944,0.38889,0.36111,0.34722,0.40278
nef_Ra,60,0.16667,0.15278,0.38889,0.375,0.41667,0.44444,0.45833,0.43056,0.47222,0.44444,0.45833
nef_Ra,61,0.125,0.08333,0.23611,0.26389,0.31944,0.36111,0.33333,0.34722,0.36111,0.34722,0.375
nef_Ra,62,0.16438,0.15068,0.30137,0.36986,0.41096,0.45205,0.43836,0.47945,0.46575,0.46575,0.43836
nef_Ra,63,0.125,0.125,0.18056,0.29167,0.36111,0.375,0.38889,0.375,0.375,0.36111,0.38889
