,,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
nef_Ra,49,0.15278,0.30556,0.47222,0.58333,0.54167,0.55556,0.52778,0.55556,0.51389,0.55556,0.56944
nef_Ra,50,0.16438,0.36986,0.46575,0.52055,0.54795,0.53425,0.53425,0.54795,0.56164,0.63014,0.57534
nef_Ra,51,0.18056,0.34722,0.51389,0.5,0.55556,0.59722,0.55556,0.56944,0.59722,0.58333,0.61111
nef_Ra,52,0.13889,0.23611,0.47222,0.56944,0.54167,0.58333,0.58333,0.58333,0.56944,0.56944,0.52778
nef_Ra,53,0.18056,0.31944,0.51389,0.51389,0.52778,0.51389,0.52778,0.51389,0.45833,0.5,0.56944
nef_Ra,54,0.10959,0.38356,0.47945,0.52055,0.50685,0.57534,0.61644,0.58904,0.58904,0.61644,0.63014
nef_Ra,55,0.22222,0.29167,0.51389,0.52778,0.58333,0.59722,0.55556,0.58333,0.56944,0.56944,0.55556
nef_Ra,56,0.20833,0.23611,0.52778,0.52778,0.55556,0.56944,0.54167,0.56944,0.55556,0.56944,0.52778
nef_Ra,57,0.18056,0.33333,0.55556,0.59722,0.56944,0.65278,0.625,0.63889,0.625,0.625,0.625
nef_Ra,58,0.17808,0.24658,0.46575,0.50685,0.47945,0.50685,0.53425,0.53425,0.52055,0.50685,0.54795
nef_Ra,59,0.16667,0.36111,0.47222,0.52778,0.55556,0.52778,0.58333,0.55556,0.56944,0.54167,0.59722
nef_Ra,60,0.16667,0.29167,0.51389,0.59722,0.56944,0.61111,0.54167,0.56944,0.58333,0.61111,0.625
nef_Ra,61,0.125,0.30556,0.43056,0.47222,0.51389,0.48611,0.51389,0.55556,0.56944,0.54167,0.58333
nef_Ra,62,0.16438,0.32877,0.50685,0.56164,0.54795,0.57534,0.57534,0.56164,0.54795,0.57534,0.57534
nef_Ra,63,0.125,0.29167,0.43056,0.51389,0.54167,0.52778,0.54167,0.52778,0.5,0.5,0.52778
nef_Ra,64,0.16667,0.34722,0.48611,0.52778,0.58333,0.625,0.61111,0.59722,0.63889,0.63889,0.625
nef_Ra,65,0.11111,0.30556,0.43056,0.48611,0.51389,0.44444,0.45833,0.47222,0.51389,0.54167,0.52778
nef_Ra,66,0.19178,0.32877,0.58904,0.54795,0.58904,0.58904,0.61644,0.63014,0.56164,0.61644,0.63014
nef_Ra,67,0.19444,0.29167,0.52778,0.58333,0.59722,0.59722,0.61111,0.56944,0.56944,0.56944,0.59722
nef_Ra,68,0.125,0.33333,0.54167,0.59722,0.61111,0.63889,0.625,0.65278,0.61111,0.625,0.625
nef_Ra,69,0.18056,0.20833,0.45833,0.47222,0.5,0.56944,0.54167,0.54167,0.52778,0.55556,0.55556
nef_Ra,70,0.16438,0.32877,0.45205,0.54795,0.56164,0.58904,0.56164,0.57534,0.58904,0.60274,0.56164
nef_Ra,71,0.13889,0.34722,0.47222,0.54167,0.52778,0.52778,0.5,0.52778,0.5,0.51389,0.55556
nef_Ra,72,0.15278,0.29167,0.51389,0.54167,0.56944,0.51389,0.5,0.48611,0.51389,0.47222,0.5
nef_Ra,73,0.19444,0.38889,0.54167,0.59722,0.63889,0.65278,0.65278,0.59722,0.68056,0.66667,0.69444
nef_Ra,74,0.10959,0.27397,0.42466,0.50685,0.56164,0.57534,0.52055,0.53425,0.53425,0.54795,0.56164
nef_Ra,75,0.16667,0.27778,0.45833,0.47222,0.5,0.52778,0.5,0.52778,0.52778,0.58333,0.55556
nef_Ra,76,0.13889,0.375,0.51389,0.54167,0.54167,0.5,0.54167,0.52778,0.5,0.55556,0.54167
nef_Ra,77,0.15278,0.33333,0.48611,0.5,0.58333,0.58333,0.59722,0.61111,0.63889,0.625,0.68056
nef_Ra,78,0.12329,0.28767,0.42466,0.50685,0.60274,0.57534,0.56164,0.53425,0.56164,0.58904,0.58904
nef_Ra,79,0.15278,0.30556,0.51389,0.52778,0.5,0.56944,0.52778,0.54167,0.55556,0.59722,0.61111
nef_Ra,80,0.13889,0.31944,0.43056,0.48611,0.51389,0.54167,0.5,0.54167,0.51389,0.52778,0.54167
nef_Ra,81,0.22222,0.34722,0.45833,0.52778,0.54167,0.59722,0.56944,0.59722,0.55556,0.625,0.625
nef_Ra,82,0.15068,0.28767,0.53425,0.60274,0.57534,0.56164,0.54795,0.61644,0.58904,0.60274,0.61644
nef_Ra,83,0.16667,0.29167,0.52778,0.56944,0.58333,0.61111,0.58333,0.56944,0.56944,0.59722,0.55556
nef_Ra,84,0.15278,0.25,0.52778,0.61111,0.61111,0.59722,0.59722,0.625,0.58333,0.55556,0.59722
nef_Ra,85,0.19444,0.30556,0.48611,0.51389,0.54167,0.58333,0.55556,0.58333,0.55556,0.58333,0.61111
nef_Ra,86,0.15068,0.28767,0.46575,0.50685,0.52055,0.54795,0.53425,0.54795,0.50685,0.50685,0.57534
nef_Ra,87,0.125,0.36111,0.55556,0.54167,0.58333,0.56944,0.54167,0.55556,0.58333,0.56944,0.56944
nef_Ra,88,0.13889,0.30556,0.44444,0.51389,0.55556,0.55556,0.56944,0.58333,0.56944,0.56944,0.58333
nef_Ra,89,0.19444,0.29167,0.44444,0.51389,0.56944,0.56944,0.55556,0.54167,0.55556,0.54167,0.54167
nef_Ra,90,0.13699,0.35616,0.54795,0.63014,0.58904,0.64384,0.64384,0.61644,0.64384,0.64384,0.64384
nef_Ra,91,0.15278,0.26389,0.44444,0.51389,0.51389,0.52778,0.54167,0.51389,0.52778,0.56944,0.52778
nef_Ra,92,0.15278,0.25,0.48611,0.56944,0.61111,0.55556,0.59722,0.61111,0.63889,0.625,0.61111
nef_Ra,93,0.19444,0.38889,0.58333,0.58333,0.63889,0.625,0.59722,0.58333,0.58333,0.59722,0.61111
nef_Ra,94,0.13699,0.31507,0.38356,0.47945,0.49315,0.50685,0.49315,0.50685,0.49315,0.50685,0.53425
nef_Ra,95,0.19444,0.33333,0.47222,0.55556,0.58333,0.55556,0.56944,0.56944,0.58333,0.59722,0.56944
nef_Ra,96,0.13889,0.29167,0.41667,0.55556,0.55556,0.56944,0.59722,0.59722,0.625,0.63889,0.625
nef_Ra,97,0.15278,0.36111,0.59722,0.56944,0.61111,0.59722,0.56944,0.56944,0.59722,0.58333,0.59722
nef_Ra,98,0.13699,0.27397,0.45205,0.52055,0.57534,0.60274,0.57534,0.57534,0.56164,0.57534,0.56164
nef_Ra,99,0.22222,0.34722,0.47222,0.54167,0.55556,0.55556,0.56944,0.52778,0.54167,0.55556,0.56944
nef_Ra,100,0.23611,0.30556,0.43056,0.51389,0.52778,0.54167,0.5,0.52778,0.5,0.54167,0.58333
nef_Ra,101,0.16667,0.33333,0.51389,0.55556,0.59722,0.625,0.61111,0.59722,0.625,0.61111,0.61111
nef_Ra,102,0.12329,0.30137,0.49315,0.49315,0.53425,0.57534,0.63014,0.63014,0.65753,0.64384,0.67123
nef_Ra,103,0.125,0.31944,0.48611,0.54167,0.52778,0.55556,0.54167,0.55556,0.58333,0.56944,0.59722
nef_Ra,104,0.16667,0.26389,0.41667,0.47222,0.48611,0.5,0.47222,0.5,0.48611,0.51389,0.52778
nef_Ra,105,0.16667,0.33333,0.54167,0.52778,0.59722,0.59722,0.58333,0.61111,0.63889,0.63889,0.61111
nef_Ra,106,0.19178,0.32877,0.50685,0.49315,0.52055,0.57534,0.54795,0.60274,0.57534,0.56164,0.60274
nef_Ra,107,0.15278,0.375,0.51389,0.54167,0.56944,0.58333,0.59722,0.59722,0.61111,0.59722,0.63889
nef_Ra,108,0.18056,0.36111,0.59722,0.625,0.63889,0.63889,0.68056,0.68056,0.68056,0.66667,0.65278
nef_Ra,109,0.15278,0.20833,0.40278,0.44444,0.54167,0.54167,0.52778,0.54167,0.55556,0.61111,0.55556
nef_Ra,110,0.13699,0.38356,0.49315,0.57534,0.53425,0.50685,0.50685,0.54795,0.50685,0.52055,0.53425
nef_Ra,111,0.13889,0.30556,0.51389,0.56944,0.54167,0.54167,0.54167,0.55556,0.55556,0.58333,0.61111
nef_Ra,112,0.08333,0.29167,0.47222,0.54167,0.54167,0.55556,0.56944,0.56944,0.56944,0.56944,0.58333
nef_Ra,113,0.09722,0.27778,0.47222,0.55556,0.59722,0.59722,0.61111,0.56944,0.58333,0.59722,0.625
nef_Ra,114,0.19178,0.38356,0.52055,0.53425,0.52055,0.53425,0.54795,0.53425,0.53425,0.52055,0.53425
nef_Ra,115,0.15278,0.31944,0.5,0.54167,0.54167,0.55556,0.54167,0.59722,0.56944,0.56944,0.59722
nef_Ra,116,0.16667,0.22222,0.44444,0.47222,0.52778,0.5,0.5,0.52778,0.56944,0.55556,0.56944
nef_Ra,117,0.125,0.31944,0.47222,0.52778,0.54167,0.52778,0.55556,0.55556,0.56944,0.56944,0.56944
nef_Ra,118,0.24658,0.36986,0.54795,0.61644,0.58904,0.61644,0.61644,0.60274,0.64384,0.69863,0.65753
nef_Ra,119,0.11111,0.29167,0.45833,0.54167,0.55556,0.52778,0.55556,0.56944,0.58333,0.58333,0.58333
roc_auc,0,0.62008,0.76398,0.8941,0.91498,0.9073,0.93164,0.92013,0.90815,0.91779,0.91303,0.92169
roc_auc,1,0.59467,0.76686,0.89481,0.89881,0.90726,0.90434,0.90688,0.90986,0.91279,0.91643,0.91542
roc_auc,2,0.62141,0.77269,0.86795,0.88769,0.87547,0.88469,0.87497,0.8703,0.88574,0.89269,0.9031
roc_auc,3,0.58539,0.76279,0.84619,0.88089,0.88466,0.89948,0.90548,0.91101,0.9187,0.89733,0.89691
roc_auc,4,0.52561,0.73461,0.87374,0.8962,0.87659,0.88811,0.87802,0.89822,0.90038,0.8969,0.90128
roc_auc,5,0.65872,0.79336,0.8742,0.87838,0.86703,0.89388,0.87435,0.89602,0.90074,0.86905,0.88518
roc_auc,6,0.57524,0.77753,0.90824,0.92635,0.92851,0.93777,0.92797,0.92855,0.93083,0.92935,0.93392
roc_auc,7,0.60002,0.77649,0.91345,0.92019,0.91192,0.91556,0.89664,0.89752,0.90809,0.89779,0.91634
roc_auc,8,0.58364,0.74795,0.87284,0.89224,0.86998,0.88568,0.87283,0.88218,0.90168,0.88948,0.90816
roc_auc,9,0.5979,0.80501,0.86945,0.8978,0.89379,0.90844,0.91279,0.91386,0.92002,0.9206,0.92844
roc_auc,10,0.60897,0.78029,0.90169,0.9083,0.90945,0.92969,0.92658,0.89885,0.91741,0.89927,0.91877
roc_auc,11,0.62733,0.78306,0.90049,0.90957,0.91002,0.90465,0.90791,0.90859,0.90879,0.91282,0.9234
roc_auc,12,0.54804,0.75699,0.89675,0.92664,0.92077,0.92231,0.9127,0.9145,0.9183,0.93473,0.92497
