,cocry_2d1j_D01_LIG_dock_1ezq_2
complex_1,-8.68557
step1_200.xyz_1,-8.12697
step2_200_2000_5.0_16930.xyz_1,5.47416
step2_200_2000_5.0_2177.xyz_1,-5.36503
step2_200_2000_5.0_27766.xyz_1,4.92927
step2_200_2000_5.0_28005.xyz_1,-6.44967
step2_200_2000_5.0_4094.xyz_1,-2.65791
step2_200_2000_5.0_47873.xyz_1,1.32068
step2_200_2000_5.0_77285.xyz_1,10.10191
step2_200_2000_5.0_85412.xyz_1,34.30609
step2_200_2000_5.0_86398.xyz_1,19.69196
step2_200_2000_5.0_86498.xyz_1,4.23152
