,,sample_10,sample_20,sample_30,sample_40,sample_50,sample_60,sample_64
nef_Ra,73,0.26562,0.46875,0.5,0.45312,0.5,0.5,0.48438
nef_Ra,74,0.39062,0.42188,0.48438,0.5,0.51562,0.53125,0.51562
nef_Ra,75,0.26562,0.46875,0.4375,0.42188,0.48438,0.46875,0.48438
nef_Ra,76,0.32812,0.45312,0.53125,0.40625,0.45312,0.4375,0.51562
nef_Ra,77,0.3125,0.45312,0.46875,0.45312,0.54688,0.51562,0.51562
nef_Ra,78,0.35938,0.45312,0.48438,0.51562,0.42188,0.45312,0.4375
nef_Ra,79,0.23438,0.5,0.46875,0.48438,0.48438,0.42188,0.5
nef_Ra,80,0.34375,0.51562,0.5,0.4375,0.48438,0.5,0.5625
nef_Ra,81,0.28125,0.45312,0.51562,0.5625,0.5625,0.5,0.5625
nef_Ra,82,0.21875,0.48438,0.48438,0.40625,0.4375,0.5,0.46875
nef_Ra,83,0.29688,0.51562,0.46875,0.46875,0.53125,0.45312,0.5
nef_Ra,84,0.34375,0.45312,0.45312,0.5,0.53125,0.51562,0.53125
nef_Ra,85,0.34375,0.46875,0.5,0.53125,0.57812,0.48438,0.53125
nef_Ra,86,0.25,0.5,0.51562,0.42188,0.45312,0.4375,0.53125
nef_Ra,87,0.28125,0.46875,0.375,0.42188,0.51562,0.48438,0.45312
nef_Ra,88,0.34375,0.5,0.53125,0.45312,0.51562,0.48438,0.5
nef_Ra,89,0.28125,0.45312,0.45312,0.46875,0.42188,0.48438,0.4375
nef_Ra,90,0.375,0.57812,0.51562,0.54688,0.51562,0.53125,0.5625
nef_Ra,91,0.23438,0.40625,0.45312,0.39062,0.45312,0.42188,0.46875
nef_Ra,92,0.32812,0.48438,0.45312,0.46875,0.48438,0.46875,0.48438
nef_Ra,93,0.3125,0.5,0.57812,0.5,0.59375,0.5625,0.64062
nef_Ra,94,0.26562,0.53125,0.46875,0.46875,0.42188,0.48438,0.48438
nef_Ra,95,0.28125,0.34375,0.42188,0.375,0.40625,0.4375,0.42188
nef_Ra,96,0.25,0.5625,0.53125,0.5,0.51562,0.5,0.51562
nef_Ra,97,0.25,0.34375,0.375,0.34375,0.42188,0.45312,0.39062
nef_Ra,98,0.34375,0.4375,0.45312,0.42188,0.48438,0.4375,0.5
