,,LR,GBT,DClf
nef_Ra,60,0.53846,0.61538,0.125
nef_Ra,61,0.58654,0.64423,0.10577
nef_Ra,62,0.59615,0.64423,0.08654
nef_Ra,63,0.57282,0.63107,0.02913
nef_Ra,64,0.55769,0.68269,0.10577
nef_Ra,65,0.58654,0.69231,0.08654
nef_Ra,66,0.56731,0.67308,0.16346
nef_Ra,67,0.56311,0.60194,0.16505
nef_Ra,68,0.56731,0.64423,0.08654
nef_Ra,69,0.52885,0.61538,0.14423
nef_Ra,70,0.61538,0.63462,0.125
nef_Ra,71,0.56311,0.68932,0.13592
nef_Ra,72,0.55769,0.67308,0.02885
nef_Ra,73,0.59615,0.70192,0.09615
nef_Ra,74,0.54808,0.60577,0.09615
nef_Ra,75,0.57282,0.49515,0.14563
nef_Ra,76,0.54808,0.58654,0.125
nef_Ra,77,0.53846,0.68269,0.08654
nef_Ra,78,0.57692,0.67308,0.08654
nef_Ra,79,0.58252,0.61165,0.12621
nef_Ra,80,0.57692,0.65385,0.09615
nef_Ra,81,0.55769,0.67308,0.04808
nef_Ra,82,0.54808,0.59615,0.10577
nef_Ra,83,0.57282,0.62136,0.1165
nef_Ra,84,0.49038,0.58654,0.15385
nef_Ra,85,0.54808,0.63462,0.13462
nef_Ra,86,0.61538,0.68269,0.14423
nef_Ra,87,0.62136,0.6699,0.07767
nef_Ra,88,0.56731,0.63462,0.09615
nef_Ra,89,0.53846,0.57692,0.15385
nef_Ra,90,0.61538,0.68269,0.08654
nef_Ra,91,0.56311,0.65049,0.13592
nef_Ra,92,0.51923,0.63462,0.10577
nef_Ra,93,0.58654,0.67308,0.125
nef_Ra,94,0.53846,0.61538,0.10577
nef_Ra,95,0.62136,0.61165,0.25243
nef_Ra,96,0.61538,0.70192,0.14423
nef_Ra,97,0.48077,0.53846,0.10577
nef_Ra,98,0.58654,0.69231,0.09615
nef_Ra,99,0.57282,0.58252,0.07767
nef_Ra,100,0.57692,0.59615,0.08654
nef_Ra,101,0.52885,0.68269,0.07692
nef_Ra,102,0.57692,0.66346,0.13462
nef_Ra,103,0.59223,0.61165,0.07767
nef_Ra,104,0.56731,0.65385,0.10577
nef_Ra,105,0.57692,0.65385,0.13462
nef_Ra,106,0.61538,0.65385,0.11538
nef_Ra,107,0.52427,0.56311,0.08738
nef_Ra,108,0.60577,0.63462,0.07692
nef_Ra,109,0.56731,0.63462,0.125
nef_Ra,110,0.51923,0.55769,0.13462
nef_Ra,111,0.59223,0.6699,0.13592
nef_Ra,112,0.59615,0.65385,0.10577
nef_Ra,113,0.55769,0.63462,0.04808
nef_Ra,114,0.56731,0.69231,0.10577
nef_Ra,115,0.56311,0.59223,0.04854
nef_Ra,116,0.57692,0.66346,0.10577
nef_Ra,117,0.54808,0.63462,0.11538
nef_Ra,118,0.58654,0.70192,0.13462
nef_Ra,119,0.56311,0.60194,0.15534
roc_auc,0,0.89048,0.90817,0.49762
roc_auc,1,0.8763,0.89247,0.48211
roc_auc,2,0.89114,0.93191,0.52136
roc_auc,3,0.89563,0.91491,0.52158
roc_auc,4,0.90697,0.89994,0.49959
roc_auc,5,0.87731,0.89249,0.49872
roc_auc,6,0.89013,0.93806,0.48225
roc_auc,7,0.87977,0.91219,0.49272
roc_auc,8,0.87867,0.90274,0.50003
roc_auc,9,0.89176,0.91574,0.47381
roc_auc,10,0.89404,0.91972,0.52377
roc_auc,11,0.89397,0.87993,0.47777
roc_auc,12,0.90401,0.88456,0.51729
roc_auc,13,0.89775,0.94454,0.49697
roc_auc,14,0.89335,0.90497,0.50825
roc_auc,15,0.87095,0.89018,0.53025
roc_auc,16,0.90299,0.92124,0.49894
roc_auc,17,0.8855,0.88983,0.51248
roc_auc,18,0.87932,0.90433,0.48683
roc_auc,19,0.90005,0.91389,0.50517
roc_auc,20,0.86557,0.89171,0.49129
roc_auc,21,0.90332,0.91088,0.51423
roc_auc,22,0.9001,0.90828,0.51568
roc_auc,23,0.90291,0.91176,0.52027
roc_auc,24,0.89676,0.9167,0.53521
roc_auc,25,0.87039,0.90638,0.49609
roc_auc,26,0.91816,0.92741,0.48006
roc_auc,27,0.87586,0.88318,0.52393
roc_auc,28,0.88467,0.90519,0.48801
roc_auc,29,0.8735,0.89838,0.51423
roc_auc,30,0.92295,0.92262,0.49864
roc_auc,31,0.88152,0.87799,0.47042
roc_auc,32,0.87997,0.89509,0.48429
roc_auc,33,0.89639,0.91003,0.48298
roc_auc,34,0.89938,0.90198,0.49951
roc_auc,35,0.90453,0.92776,0.51804
roc_auc,36,0.89242,0.91845,0.49762
roc_auc,37,0.87171,0.87544,0.51488
roc_auc,38,0.90939,0.92564,0.52509
roc_auc,39,0.8925,0.90164,0.5002
roc_auc,40,0.85908,0.90102,0.45894
roc_auc,41,0.88201,0.91141,0.49238
roc_auc,42,0.91523,0.90397,0.51765
roc_auc,43,0.91459,0.93094,0.51607
roc_auc,44,0.89967,0.90768,0.51357
roc_auc,45,0.89606,0.91136,0.52581
roc_auc,46,0.8803,0.88715,0.47744
roc_auc,47,0.89658,0.9163,0.48602
roc_auc,48,0.88855,0.87668,0.51248
roc_auc,49,0.90557,0.91584,0.48954
roc_auc,50,0.87087,0.88541,0.51743
roc_auc,51,0.9055,0.9179,0.52289
roc_auc,52,0.88425,0.91151,0.52537
roc_auc,53,0.87516,0.9246,0.53805
roc_auc,54,0.922,0.91479,0.49274
roc_auc,55,0.88533,0.90734,0.53391
roc_auc,56,0.87408,0.87107,0.50593
roc_auc,57,0.89747,0.92582,0.49653
roc_auc,58,0.89716,0.91881,0.50213
roc_auc,59,0.89702,0.92573,0.50151
roc_auc,60,0.90283,0.90982,0.54483
roc_auc,61,0.90257,0.92584,0.48539
roc_auc,62,0.87365,0.90621,0.50847
roc_auc,63,0.89231,0.89088,0.51357
roc_auc,64,0.87261,0.90565,0.50811
roc_auc,65,0.89988,0.9074,0.48079
roc_auc,66,0.89836,0.92794,0.52093
roc_auc,67,0.89509,0.9038,0.52932
roc_auc,68,0.88904,0.90651,0.50221
roc_auc,69,0.89146,0.90734,0.48975
roc_auc,70,0.90604,0.91789,0.50279
roc_auc,71,0.8917,0.92844,0.49231
roc_auc,72,0.88328,0.92238,0.49434
roc_auc,73,0.88109,0.91767,0.48495
roc_auc,74,0.91515,0.90605,0.45732
roc_auc,75,0.89848,0.8758,0.50347
roc_auc,76,0.8721,0.91966,0.49937
roc_auc,77,0.89121,0.91666,0.49653
roc_auc,78,0.91389,0.92241,0.48137
roc_auc,79,0.88641,0.8821,0.51068
roc_auc,80,0.90317,0.91407,0.49303
roc_auc,81,0.8832,0.91223,0.48451
roc_auc,82,0.87595,0.89755,0.49361
roc_auc,83,0.87265,0.8892,0.47423
roc_auc,84,0.87772,0.89579,0.52647
roc_auc,85,0.88497,0.90458,0.49391
roc_auc,86,0.90525,0.93185,0.49951
roc_auc,87,0.89814,0.92258,0.49901
roc_auc,88,0.89702,0.92369,0.52866
roc_auc,89,0.89456,0.89637,0.46419
roc_auc,90,0.89587,0.92646,0.47175
roc_auc,91,0.89245,0.90141,0.5158
roc_auc,92,0.89032,0.91349,0.51904
roc_auc,93,0.89637,0.92199,0.47228
roc_auc,94,0.87244,0.90492,0.49908
roc_auc,95,0.91149,0.89182,0.50675
roc_auc,96,0.92291,0.93969,0.50724
roc_auc,97,0.87767,0.8842,0.52275
roc_auc,98,0.88045,0.92223,0.52924
roc_auc,99,0.87912,0.88126,0.50636
roc_auc,100,0.90642,0.91689,0.48538
roc_auc,101,0.87973,0.91342,0.49587
roc_auc,102,0.88527,0.9068,0.4958
roc_auc,103,0.8942,0.89831,0.51423
roc_auc,104,0.89049,0.89482,0.48036
roc_auc,105,0.89436,0.91969,0.49937
roc_auc,106,0.9121,0.92242,0.49142
roc_auc,107,0.8805,0.87005,0.5002
roc_auc,108,0.90066,0.90051,0.48888
roc_auc,109,0.89511,0.92057,0.49849
roc_auc,110,0.87909,0.89036,0.5076
roc_auc,111,0.88498,0.90665,0.53915
roc_auc,112,0.91069,0.92385,0.51205
roc_auc,113,0.88102,0.89834,0.51467
roc_auc,114,0.90155,0.92034,0.52202
roc_auc,115,0.86479,0.8887,0.496
roc_auc,116,0.88923,0.9273,0.51117
roc_auc,117,0.8799,0.90827,0.51379
roc_auc,118,0.90864,0.9099,0.50082
roc_auc,119,0.88141,0.88528,0.50282
