,,LR,GBT,DClf
roc_auc,14,0.90356,0.93843,0.48902
roc_auc,15,0.89075,0.92843,0.4869
roc_auc,16,0.88327,0.94176,0.51256
roc_auc,17,0.90394,0.94284,0.504
roc_auc,18,0.91475,0.94358,0.49353
roc_auc,19,0.85223,0.91859,0.49051
roc_auc,20,0.89479,0.94513,0.48134
roc_auc,21,0.89626,0.95523,0.51403
roc_auc,22,0.87518,0.94146,0.48239
roc_auc,23,0.85345,0.908,0.48627
roc_auc,24,0.89,0.95001,0.48435
roc_auc,25,0.88663,0.92174,0.51343
roc_auc,26,0.85859,0.92694,0.49772
roc_auc,27,0.89525,0.94097,0.50583
roc_auc,28,0.89649,0.93412,0.52098
roc_auc,29,0.8943,0.94436,0.49525
roc_auc,30,0.91663,0.95291,0.49714
roc_auc,31,0.83394,0.90221,0.50552
roc_auc,32,0.89856,0.95479,0.50434
roc_auc,33,0.90446,0.94856,0.49137
roc_auc,34,0.87508,0.92697,0.51754
roc_auc,35,0.87206,0.91345,0.48601
roc_auc,36,0.90012,0.95381,0.49832
roc_auc,37,0.88591,0.9343,0.50287
roc_auc,38,0.85935,0.91998,0.48119
roc_auc,39,0.88326,0.91947,0.4881
roc_auc,40,0.88564,0.93322,0.51684
roc_auc,41,0.90428,0.94166,0.49344
roc_auc,42,0.86005,0.90699,0.47215
roc_auc,43,0.88516,0.92429,0.51516
roc_auc,44,0.8679,0.94467,0.50594
roc_auc,45,0.89185,0.94684,0.49952
roc_auc,46,0.86036,0.92589,0.49711
roc_auc,47,0.93417,0.95506,0.50403
roc_auc,48,0.90016,0.93455,0.50554
roc_auc,49,0.88233,0.93227,0.51256
roc_auc,50,0.85185,0.93092,0.49892
roc_auc,51,0.9084,0.95783,0.52055
roc_auc,52,0.85539,0.93026,0.50166
roc_auc,53,0.88939,0.93508,0.49678
roc_auc,54,0.87521,0.92503,0.50675
roc_auc,55,0.89739,0.95061,0.48721
roc_auc,56,0.93821,0.96435,0.4919
roc_auc,57,0.86253,0.91181,0.48255
roc_auc,58,0.8562,0.91424,0.54038
roc_auc,59,0.87548,0.93637,0.49863
roc_auc,60,0.8866,0.9502,0.47232
roc_auc,61,0.87455,0.90603,0.49919
roc_auc,62,0.89825,0.9368,0.49353
roc_auc,63,0.8926,0.94697,0.50073
roc_auc,64,0.89269,0.95015,0.45962
roc_auc,65,0.88691,0.92945,0.48595
roc_auc,66,0.90423,0.94143,0.51304
roc_auc,67,0.8696,0.9315,0.50615
roc_auc,68,0.89775,0.94089,0.51309
roc_auc,69,0.87779,0.9087,0.47138
roc_auc,70,0.85257,0.93658,0.50942
roc_auc,71,0.90198,0.95594,0.50253
roc_auc,72,0.85924,0.92751,0.50888
roc_auc,73,0.88089,0.92784,0.49344
roc_auc,74,0.91924,0.95223,0.53768
roc_auc,75,0.88909,0.93002,0.49261
roc_auc,76,0.887,0.93649,0.51497
roc_auc,77,0.88321,0.90939,0.4665
roc_auc,78,0.9071,0.94767,0.4962
roc_auc,79,0.87272,0.92042,0.49743
roc_auc,80,0.88244,0.91692,0.50079
roc_auc,81,0.87873,0.9198,0.51891
roc_auc,82,0.88985,0.93743,0.48782
roc_auc,83,0.88763,0.94653,0.49683
roc_auc,84,0.85671,0.91491,0.47345
roc_auc,85,0.91718,0.95564,0.49378
roc_auc,86,0.88867,0.94622,0.51668
roc_auc,87,0.85791,0.912,0.48842
roc_auc,88,0.87269,0.92652,0.47259
roc_auc,89,0.8891,0.94889,0.51316
roc_auc,90,0.90856,0.95065,0.50342
roc_auc,91,0.87571,0.9318,0.50222
roc_auc,92,0.90186,0.94423,0.49765
roc_auc,93,0.92983,0.95486,0.50621
roc_auc,94,0.85022,0.91056,0.52236
roc_auc,95,0.86057,0.92993,0.49235
roc_auc,96,0.88501,0.95031,0.50347
roc_auc,97,0.8626,0.93296,0.5022
roc_auc,98,0.91523,0.95095,0.47697
roc_auc,99,0.85827,0.92328,0.51487
roc_auc,100,0.88219,0.94117,0.48983
roc_auc,101,0.84927,0.92121,0.51463
roc_auc,102,0.90446,0.95698,0.49562
roc_auc,103,0.91096,0.92981,0.51605
roc_auc,104,0.91128,0.93198,0.51196
roc_auc,105,0.86437,0.93178,0.50561
roc_auc,106,0.88711,0.94716,0.51725
roc_auc,107,0.87746,0.91254,0.51935
roc_auc,108,0.88231,0.92545,0.47105
roc_auc,109,0.88284,0.92452,0.48074
roc_auc,110,0.88276,0.93066,0.50764
roc_auc,111,0.9011,0.95875,0.50761
roc_auc,112,0.89697,0.96243,0.50313
roc_auc,113,0.90811,0.94748,0.50554
roc_auc,114,0.87013,0.92148,0.47941
roc_auc,115,0.85934,0.92397,0.4881
roc_auc,116,0.85971,0.92885,0.49164
roc_auc,117,0.90664,0.9335,0.52833
roc_auc,118,0.88432,0.92182,0.50583
roc_auc,119,0.89011,0.93446,0.48569
