,cocry_2fwy_H64_LIG_dock_1uyg_1
complex_1,-7.78472
step1_200.xyz_1,-7.35504
step2_200_2000_5.0_16930.xyz_1,-7.83408
step2_200_2000_5.0_2177.xyz_1,-7.04022
step2_200_2000_5.0_27766.xyz_1,-5.98602
step2_200_2000_5.0_28005.xyz_1,-7.20373
step2_200_2000_5.0_4094.xyz_1,-6.80172
step2_200_2000_5.0_47873.xyz_1,-7.361
step2_200_2000_5.0_77285.xyz_1,-7.88548
step2_200_2000_5.0_85412.xyz_1,-7.57049
step2_200_2000_5.0_86398.xyz_1,-7.41786
step2_200_2000_5.0_86498.xyz_1,-5.948
