,,LR,GBT,DClf
roc_auc,16,0.93755,0.97073,0.49183
roc_auc,17,0.8689,0.95029,0.47789
roc_auc,18,0.87427,0.91724,0.48886
roc_auc,19,0.89437,0.94467,0.49124
roc_auc,20,0.89428,0.92726,0.49882
roc_auc,21,0.89204,0.94714,0.49789
roc_auc,22,0.8848,0.95507,0.53708
roc_auc,23,0.94051,0.9722,0.50913
roc_auc,24,0.9366,0.96226,0.53292
roc_auc,25,0.84503,0.92679,0.48238
roc_auc,26,0.91656,0.9663,0.50979
roc_auc,27,0.91491,0.9476,0.50634
roc_auc,28,0.90052,0.94572,0.49494
roc_auc,29,0.92743,0.97509,0.5027
roc_auc,30,0.85627,0.95239,0.48726
roc_auc,31,0.89071,0.94106,0.49773
roc_auc,32,0.89093,0.94129,0.50161
roc_auc,33,0.91254,0.97314,0.51167
roc_auc,34,0.9032,0.95492,0.52728
roc_auc,35,0.88903,0.94888,0.4866
roc_auc,36,0.89715,0.94268,0.49385
roc_auc,37,0.88865,0.94791,0.49587
roc_auc,38,0.90505,0.94507,0.52052
roc_auc,39,0.93191,0.9661,0.52383
roc_auc,40,0.90553,0.95326,0.49385
roc_auc,41,0.88981,0.94607,0.47555
roc_auc,42,0.92301,0.96054,0.47375
roc_auc,43,0.90039,0.93637,0.47282
roc_auc,44,0.89774,0.95631,0.48937
roc_auc,45,0.8598,0.92647,0.50626
roc_auc,46,0.90375,0.95061,0.4658
roc_auc,47,0.94231,0.97583,0.48779
roc_auc,48,0.89854,0.95584,0.5185
roc_auc,49,0.88312,0.93774,0.51555
roc_auc,50,0.92263,0.96588,0.51933
roc_auc,51,0.87364,0.93747,0.52913
roc_auc,52,0.90766,0.96059,0.49494
roc_auc,53,0.91544,0.98226,0.48533
roc_auc,54,0.91508,0.93925,0.53827
roc_auc,55,0.85052,0.91614,0.49495
roc_auc,56,0.86704,0.93338,0.51539
roc_auc,57,0.91182,0.94763,0.49511
roc_auc,58,0.89826,0.94813,0.50939
