,,sample_10,sample_20,sample_30,sample_40,sample_50,sample_60,sample_64
nef_Ra,74,0.37333,0.49333,0.6,0.62667,0.66667,0.65333,0.66667
nef_Ra,75,0.38667,0.49333,0.57333,0.57333,0.6,0.57333,0.61333
nef_Ra,76,0.36842,0.43421,0.5,0.56579,0.57895,0.63158,0.60526
nef_Ra,77,0.44,0.52,0.62667,0.65333,0.65333,0.66667,0.68
nef_Ra,78,0.38667,0.58667,0.65333,0.65333,0.74667,0.77333,0.74667
nef_Ra,79,0.34667,0.50667,0.6,0.62667,0.64,0.64,0.64
nef_Ra,80,0.39474,0.48684,0.59211,0.60526,0.60526,0.61842,0.59211
nef_Ra,81,0.34667,0.56,0.69333,0.69333,0.72,0.70667,0.72
nef_Ra,82,0.4,0.48,0.58667,0.6,0.62667,0.58667,0.61333
nef_Ra,83,0.45333,0.50667,0.56,0.57333,0.57333,0.57333,0.56
nef_Ra,84,0.36842,0.48684,0.61842,0.63158,0.68421,0.67105,0.67105
nef_Ra,85,0.34667,0.50667,0.6,0.62667,0.64,0.65333,0.66667
nef_Ra,86,0.38667,0.52,0.6,0.61333,0.61333,0.56,0.53333
nef_Ra,87,0.38667,0.48,0.61333,0.58667,0.62667,0.68,0.68
nef_Ra,88,0.35526,0.48684,0.61842,0.64474,0.61842,0.65789,0.63158
nef_Ra,89,0.37333,0.48,0.56,0.56,0.58667,0.62667,0.65333
nef_Ra,90,0.4,0.50667,0.56,0.57333,0.65333,0.64,0.69333
nef_Ra,91,0.41333,0.53333,0.64,0.66667,0.68,0.69333,0.68
nef_Ra,92,0.34211,0.48684,0.59211,0.57895,0.61842,0.55263,0.59211
nef_Ra,93,0.42667,0.53333,0.61333,0.66667,0.66667,0.65333,0.69333
nef_Ra,94,0.45333,0.50667,0.58667,0.64,0.65333,0.70667,0.68
nef_Ra,95,0.41333,0.48,0.6,0.58667,0.62667,0.62667,0.57333
nef_Ra,96,0.39474,0.55263,0.68421,0.67105,0.68421,0.68421,0.68421
nef_Ra,97,0.41333,0.48,0.58667,0.6,0.61333,0.61333,0.6
nef_Ra,98,0.45333,0.56,0.6,0.57333,0.65333,0.66667,0.61333
nef_Ra,99,0.4,0.52,0.64,0.64,0.68,0.64,0.62667
nef_Ra,100,0.32895,0.53947,0.59211,0.60526,0.64474,0.64474,0.64474
