RMSD_init_1,dRMSD_1,RMSD_init_2,dRMSD_2,RMSD_init_3,dRMSD_3
9.16874,-1.2990199999999996,11.43588,-0.705029999999998911.04218,-0.8126200000000008
11.20015,-0.7660800000000005,10.83505,-0.6265400000000003nan,nan
6.73645,-0.021119999999999806,6.75703,-0.065949999999999956.67476,-0.012640000000000207
6.59354,-0.23404999999999987,6.92813,0.093299999999999276.55043,-0.15074000000000076
6.19439,-0.17625000000000046,6.15734,-0.258809999999999546.411,0.3184100000000001
7.01263,-0.6526199999999998,6.43721,-0.219770000000000466.34246,-0.07397999999999971
6.27673,-0.1460599999999994,6.4111,0.143149999999999446.03377,0.28093000000000057
6.53361,0.17037999999999975,6.89634,0.086089999999999561.59368,0.06919000000000008
6.48226,0.2631199999999998,6.91883,0.0216200000000004176.38501,0.28969999999999985
6.79072,0.1288399999999994,7.14106,0.247029999999999646.74731,0.11110000000000042
6.07576,-0.9226999999999999,6.30778,-0.92496000000000045.69312,-0.6571600000000002
6.5318,0.14145000000000074,6.64615,-0.131739999999999756.01469,0.11570000000000036
6.53162,-0.12710000000000043,6.65746,0.070039999999999666.23278,-0.009599999999999831
6.85612,-0.06124999999999936,6.82444,-0.095329999999999696.83404,-0.3253199999999996
6.64477,-0.42442000000000046,8.03841,-0.477030000000000956.63501,-0.13964
11.62706,-0.7251700000000003,11.93601,-0.400629999999999611.97302,-0.24630999999999936
7.06266,-0.9693199999999997,7.65887,-0.31225000000000068.56626,-0.8468799999999996
10.36941,-0.90245,nan,nannan,nan
7.71589,-0.6692999999999998,6.83024,-0.34783999999999976.99554,-0.04393000000000047
5.37828,0.14133999999999958,7.20707,-0.452289999999999645.87353,-0.021269999999999456
10.9165,-0.5936699999999995,10.55391,-0.3144711.30756,-0.4572000000000003
9.66075,0.013730000000000686,10.01595,-0.321699999999999910.03647,-0.39900999999999875
7.51296,-0.15614999999999934,6.09754,-0.141830000000000576.57636,0.14736999999999956
7.24757,-1.8515599999999992,6.27525,-1.21687999999999976.7362,-0.18393999999999977
7.62541,-0.36701999999999924,7.30393,-0.48882000000000050.60268,0.7466100000000001
8.27854,-0.6776099999999996,9.38143,-0.126920000000000149.42241,0.35630000000000095
6.36954,0.0024500000000005073,7.61179,-0.050069999999999842.21665,-1.06576
6.49308,0.07335000000000047,1.70959,0.442320000000000057.71288,-0.4255900000000006
1.21557,0.5692200000000001,6.80566,-0.27726999999999976.57158,0.022350000000000314
5.99259,-0.7521399999999998,5.97154,-0.51390000000000056.51634,-0.07712999999999948
5.5109,0.030899999999999928,5.22125,-0.124560000000000676.36845,0.2142400000000002
7.89191,-0.5720299999999998,6.90294,-0.336079999999999936.4074,0.09044000000000008
2.25713,-0.032950000000000035,6.49822,0.173079999999999685.62045,0.5040300000000002
7.58538,-0.4441100000000002,6.04091,0.100859999999999956.54,-0.4349400000000001
6.22878,-1.7181700000000006,5.29948,0.038859999999999672.9343,-0.14554
7.31832,-0.2994899999999996,7.44729,-0.75790999999999996.15179,-0.30837000000000003
4.35588,-0.3988100000000001,7.54402,-0.75675999999999995.3456,-0.6608499999999999
5.34065,-0.5381900000000002,2.83634,-0.95133999999999993.56333,-0.8296600000000001
7.17294,-0.5629599999999995,9.09008,-1.38764000000000027.93,-0.9657099999999996
7.35551,-0.7271999999999998,7.71403,-0.37244999999999976.47942,0.21945999999999977
10.56526,-1.2137100000000007,10.48047,-1.1486512.17015,-0.7376899999999988
