,,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
nef_Ra,50,0.18667,0.24,0.53333,0.78667,0.8,0.8,0.8,0.81333,0.81333,0.82667,0.82667
nef_Ra,51,0.16,0.17333,0.44,0.70667,0.73333,0.76,0.77333,0.77333,0.76,0.76,0.77333
nef_Ra,52,0.13514,0.17568,0.51351,0.77027,0.78378,0.78378,0.7973,0.81081,0.7973,0.7973,0.81081
nef_Ra,53,0.13514,0.21622,0.47297,0.74324,0.77027,0.77027,0.74324,0.77027,0.75676,0.7973,0.78378
nef_Ra,54,0.17333,0.28,0.52,0.70667,0.73333,0.73333,0.76,0.77333,0.77333,0.77333,0.77333
nef_Ra,55,0.18667,0.33333,0.52,0.81333,0.8,0.78667,0.8,0.82667,0.82667,0.82667,0.82667
nef_Ra,56,0.13514,0.22973,0.48649,0.82432,0.81081,0.82432,0.81081,0.83784,0.85135,0.83784,0.82432
nef_Ra,57,0.16216,0.18919,0.47297,0.68919,0.71622,0.75676,0.72973,0.74324,0.75676,0.75676,0.72973
nef_Ra,58,0.18667,0.22667,0.46667,0.77333,0.78667,0.81333,0.82667,0.85333,0.82667,0.85333,0.88
nef_Ra,59,0.24,0.33333,0.57333,0.74667,0.77333,0.78667,0.78667,0.8,0.78667,0.77333,0.81333
nef_Ra,60,0.2027,0.25676,0.52703,0.78378,0.7973,0.7973,0.7973,0.81081,0.81081,0.81081,0.83784
nef_Ra,61,0.13514,0.16216,0.45946,0.75676,0.77027,0.78378,0.81081,0.7973,0.82432,0.81081,0.81081
nef_Ra,62,0.18667,0.2,0.45333,0.72,0.73333,0.76,0.77333,0.77333,0.77333,0.78667,0.8
nef_Ra,63,0.25333,0.30667,0.54667,0.72,0.74667,0.76,0.77333,0.76,0.74667,0.77333,0.77333
nef_Ra,64,0.27027,0.24324,0.45946,0.71622,0.7027,0.74324,0.75676,0.7973,0.78378,0.75676,0.7973
nef_Ra,65,0.18919,0.22973,0.51351,0.7973,0.78378,0.82432,0.82432,0.83784,0.85135,0.87838,0.89189
nef_Ra,66,0.18667,0.29333,0.56,0.74667,0.76,0.77333,0.77333,0.77333,0.77333,0.76,0.77333
nef_Ra,67,0.14667,0.18667,0.50667,0.78667,0.8,0.8,0.8,0.8,0.78667,0.8,0.8
nef_Ra,68,0.22973,0.27027,0.5,0.74324,0.75676,0.75676,0.75676,0.77027,0.77027,0.7973,0.7973
nef_Ra,69,0.18919,0.21622,0.5,0.77027,0.78378,0.7973,0.82432,0.81081,0.7973,0.81081,0.82432
nef_Ra,70,0.17333,0.18667,0.45333,0.73333,0.73333,0.76,0.73333,0.76,0.77333,0.74667,0.76
nef_Ra,71,0.18667,0.26667,0.54667,0.8,0.81333,0.8,0.81333,0.81333,0.81333,0.81333,0.81333
nef_Ra,72,0.10811,0.18919,0.47297,0.86486,0.87838,0.85135,0.85135,0.83784,0.87838,0.86486,0.87838
nef_Ra,73,0.17568,0.2027,0.5,0.7027,0.71622,0.72973,0.72973,0.71622,0.71622,0.75676,0.75676
nef_Ra,74,0.2,0.22667,0.46667,0.76,0.74667,0.74667,0.76,0.77333,0.76,0.77333,0.77333
nef_Ra,75,0.22667,0.29333,0.56,0.76,0.76,0.8,0.81333,0.81333,0.81333,0.8,0.8
nef_Ra,76,0.21622,0.25676,0.5,0.74324,0.72973,0.7973,0.77027,0.75676,0.77027,0.77027,0.77027
nef_Ra,77,0.17568,0.25676,0.48649,0.75676,0.75676,0.74324,0.74324,0.78378,0.78378,0.77027,0.78378
nef_Ra,78,0.14667,0.24,0.42667,0.78667,0.77333,0.78667,0.8,0.81333,0.8,0.81333,0.84
nef_Ra,79,0.21333,0.24,0.48,0.81333,0.8,0.81333,0.8,0.81333,0.81333,0.82667,0.82667
nef_Ra,80,0.13514,0.16216,0.56757,0.78378,0.7973,0.85135,0.83784,0.85135,0.85135,0.87838,0.86486
nef_Ra,81,0.17568,0.21622,0.44595,0.75676,0.75676,0.78378,0.78378,0.7973,0.81081,0.81081,0.81081
nef_Ra,82,0.18667,0.24,0.49333,0.74667,0.70667,0.72,0.70667,0.74667,0.74667,0.74667,0.74667
nef_Ra,83,0.09333,0.2,0.49333,0.78667,0.76,0.81333,0.81333,0.81333,0.8,0.81333,0.82667
nef_Ra,84,0.18919,0.24324,0.5,0.7973,0.7973,0.7973,0.83784,0.82432,0.82432,0.82432,0.85135
nef_Ra,85,0.17568,0.24324,0.51351,0.75676,0.77027,0.75676,0.78378,0.78378,0.78378,0.7973,0.81081
nef_Ra,86,0.14667,0.18667,0.46667,0.66667,0.68,0.69333,0.72,0.70667,0.70667,0.72,0.70667
nef_Ra,87,0.18667,0.2,0.48,0.8,0.8,0.82667,0.81333,0.82667,0.82667,0.8,0.8
nef_Ra,88,0.21622,0.24324,0.51351,0.7973,0.81081,0.82432,0.81081,0.82432,0.82432,0.81081,0.83784
nef_Ra,89,0.2027,0.24324,0.45946,0.74324,0.75676,0.78378,0.78378,0.78378,0.81081,0.7973,0.7973
nef_Ra,90,0.2,0.28,0.54667,0.78667,0.78667,0.78667,0.78667,0.8,0.8,0.8,0.81333
nef_Ra,91,0.16,0.18667,0.46667,0.69333,0.72,0.74667,0.76,0.78667,0.77333,0.78667,0.77333
nef_Ra,92,0.21622,0.27027,0.48649,0.71622,0.75676,0.77027,0.75676,0.77027,0.75676,0.7973,0.7973
nef_Ra,93,0.21622,0.24324,0.41892,0.72973,0.74324,0.77027,0.78378,0.7973,0.77027,0.7973,0.7973
nef_Ra,94,0.21333,0.2,0.54667,0.77333,0.77333,0.78667,0.8,0.78667,0.8,0.82667,0.81333
nef_Ra,95,0.16,0.29333,0.52,0.77333,0.78667,0.78667,0.78667,0.81333,0.8,0.82667,0.82667
nef_Ra,96,0.17568,0.22973,0.47297,0.71622,0.68919,0.7027,0.74324,0.75676,0.74324,0.74324,0.75676
nef_Ra,97,0.21622,0.28378,0.45946,0.7973,0.82432,0.82432,0.82432,0.82432,0.82432,0.82432,0.81081
nef_Ra,98,0.14667,0.24,0.50667,0.8,0.78667,0.78667,0.8,0.82667,0.82667,0.82667,0.84
nef_Ra,99,0.2,0.21333,0.46667,0.74667,0.77333,0.77333,0.78667,0.78667,0.78667,0.8,0.78667
nef_Ra,100,0.21622,0.27027,0.59459,0.78378,0.77027,0.7973,0.81081,0.7973,0.77027,0.78378,0.82432
nef_Ra,101,0.24324,0.27027,0.58108,0.74324,0.78378,0.77027,0.77027,0.7973,0.77027,0.78378,0.81081
nef_Ra,102,0.2,0.28,0.46667,0.82667,0.8,0.81333,0.82667,0.82667,0.85333,0.85333,0.85333
nef_Ra,103,0.17333,0.21333,0.45333,0.73333,0.73333,0.77333,0.77333,0.8,0.8,0.8,0.78667
nef_Ra,104,0.16216,0.2027,0.47297,0.72973,0.72973,0.74324,0.74324,0.75676,0.74324,0.75676,0.75676
nef_Ra,105,0.17568,0.24324,0.54054,0.81081,0.81081,0.81081,0.7973,0.81081,0.81081,0.83784,0.82432
nef_Ra,106,0.21333,0.25333,0.52,0.72,0.72,0.74667,0.76,0.76,0.77333,0.77333,0.77333
nef_Ra,107,0.2,0.26667,0.49333,0.76,0.76,0.78667,0.8,0.78667,0.81333,0.8,0.81333
nef_Ra,108,0.21622,0.28378,0.55405,0.75676,0.75676,0.75676,0.77027,0.78378,0.78378,0.78378,0.7973
nef_Ra,109,0.2027,0.22973,0.52703,0.7973,0.78378,0.83784,0.82432,0.81081,0.82432,0.83784,0.83784
nef_Ra,110,0.2,0.32,0.45333,0.74667,0.76,0.76,0.76,0.78667,0.77333,0.78667,0.78667
nef_Ra,111,0.17333,0.2,0.52,0.76,0.76,0.76,0.74667,0.74667,0.77333,0.76,0.74667
nef_Ra,112,0.22973,0.22973,0.48649,0.81081,0.83784,0.85135,0.85135,0.87838,0.86486,0.85135,0.87838
nef_Ra,113,0.18919,0.18919,0.5,0.67568,0.68919,0.71622,0.71622,0.71622,0.7027,0.72973,0.71622
nef_Ra,114,0.21333,0.25333,0.49333,0.77333,0.78667,0.8,0.78667,0.81333,0.8,0.82667,0.78667
nef_Ra,115,0.16,0.21333,0.45333,0.76,0.76,0.78667,0.8,0.8,0.81333,0.81333,0.81333
nef_Ra,116,0.17568,0.17568,0.58108,0.74324,0.75676,0.81081,0.7973,0.78378,0.78378,0.78378,0.75676
nef_Ra,117,0.21622,0.27027,0.51351,0.82432,0.83784,0.83784,0.85135,0.85135,0.85135,0.83784,0.85135
nef_Ra,118,0.18667,0.25333,0.48,0.74667,0.74667,0.76,0.76,0.78667,0.77333,0.8,0.8
nef_Ra,119,0.16,0.26667,0.53333,0.73333,0.74667,0.74667,0.76,0.76,0.74667,0.74667,0.74667
roc_auc,0,0.60474,0.60009,0.80913,0.88392,0.9019,0.90836,0.92712,0.92704,0.93238,0.93414,0.93722
roc_auc,1,0.59872,0.60712,0.79639,0.90212,0.88898,0.8774,0.89227,0.90205,0.88921,0.89628,0.91042
roc_auc,2,0.5824,0.6226,0.79105,0.92037,0.92595,0.91678,0.9224,0.92872,0.92446,0.92077,0.92352
roc_auc,3,0.61493,0.60419,0.76501,0.88503,0.8853,0.88114,0.89648,0.9004,0.89965,0.91244,0.92458
roc_auc,4,0.60145,0.66399,0.83596,0.9305,0.92499,0.94058,0.92739,0.93441,0.92847,0.93717,0.94948
roc_auc,5,0.60227,0.61547,0.72539,0.85551,0.85727,0.8669,0.87717,0.87738,0.87655,0.87259,0.87931
roc_auc,6,0.55791,0.60958,0.80197,0.8995,0.90201,0.90201,0.92511,0.9203,0.92325,0.90689,0.91202
roc_auc,7,0.56264,0.58424,0.84436,0.92221,0.91405,0.90875,0.91244,0.91928,0.91428,0.91732,0.92691
roc_auc,8,0.58824,0.5875,0.79998,0.89816,0.89666,0.9026,0.9029,0.90962,0.91197,0.91609,0.92178
roc_auc,9,0.56704,0.62692,0.79115,0.9026,0.89575,0.91248,0.91313,0.9225,0.92436,0.92802,0.92474
roc_auc,10,0.53164,0.57548,0.80061,0.86719,0.8775,0.87128,0.88592,0.88235,0.87732,0.87217,0.87314
roc_auc,11,0.58512,0.61463,0.77589,0.90706,0.90942,0.89507,0.91182,0.92694,0.92857,0.93869,0.94183
roc_auc,12,0.56565,0.5746,0.72818,0.83109,0.84599,0.86196,0.85704,0.86978,0.85669,0.86,0.86293
roc_auc,13,0.57234,0.57988,0.79221,0.92353,0.90531,0.91506,0.91112,0.92674,0.92438,0.93123,0.94432
roc_auc,14,0.57219,0.62397,0.84112,0.92416,0.92416,0.92045,0.92525,0.92652,0.93043,0.9256,0.92706
roc_auc,15,0.62129,0.6409,0.81144,0.89145,0.89336,0.88535,0.89856,0.91896,0.9288,0.92055,0.93152
roc_auc,16,0.55452,0.63476,0.79223,0.91145,0.90871,0.90581,0.91802,0.9197,0.92882,0.91789,0.91578
roc_auc,17,0.56106,0.62152,0.78586,0.89608,0.90967,0.90307,0.90641,0.89844,0.90154,0.90169,0.91087
roc_auc,18,0.58699,0.63226,0.79257,0.8826,0.88934,0.88704,0.89314,0.89576,0.90523,0.90964,0.92511
roc_auc,19,0.57633,0.60337,0.80959,0.89428,0.89143,0.88937,0.89643,0.90307,0.90399,0.90476,0.91822
roc_auc,20,0.54751,0.57723,0.78549,0.93411,0.9282,0.94008,0.95309,0.94665,0.95663,0.9546,0.95159
roc_auc,21,0.52062,0.59422,0.79538,0.91204,0.90691,0.90967,0.92233,0.91448,0.92153,0.92293,0.92975
roc_auc,22,0.57523,0.62579,0.80025,0.84233,0.84144,0.8373,0.84099,0.85579,0.84292,0.85601,0.86243
roc_auc,23,0.6173,0.63099,0.80269,0.88975,0.88654,0.88325,0.89646,0.90575,0.90426,0.91217,0.92565
roc_auc,24,0.57039,0.56742,0.80387,0.91426,0.90929,0.91929,0.9201,0.91767,0.91303,0.91804,0.92007
roc_auc,25,0.58829,0.59298,0.82671,0.93444,0.93837,0.93226,0.9309,0.93459,0.94166,0.94371,0.95394
roc_auc,26,0.55353,0.6054,0.81467,0.91928,0.917,0.90347,0.91591,0.91529,0.91428,0.92669,0.92743
roc_auc,27,0.62045,0.59693,0.73874,0.84186,0.85499,0.86245,0.88325,0.88248,0.88845,0.88709,0.89576
roc_auc,28,0.59026,0.59456,0.74788,0.85784,0.85769,0.85857,0.86995,0.87753,0.86361,0.8683,0.87314
roc_auc,29,0.55309,0.60258,0.80474,0.9158,0.92609,0.90831,0.92318,0.92611,0.93288,0.93108,0.931
roc_auc,30,0.5886,0.62731,0.78555,0.91202,0.89879,0.91011,0.91306,0.92506,0.92652,0.93078,0.93274
roc_auc,31,0.59663,0.63716,0.8366,0.9169,0.92518,0.92042,0.92248,0.92493,0.92962,0.92667,0.92657
roc_auc,32,0.53502,0.59907,0.80916,0.92421,0.93053,0.91258,0.91721,0.9194,0.92298,0.92977,0.93795
roc_auc,33,0.60438,0.61775,0.76536,0.87552,0.87053,0.88465,0.8851,0.89172,0.88808,0.89691,0.91258
roc_auc,34,0.55584,0.5848,0.79941,0.90629,0.91266,0.90706,0.92315,0.91752,0.92488,0.91829,0.92974
roc_auc,35,0.58416,0.60502,0.81606,0.91341,0.92699,0.93204,0.93836,0.94434,0.93668,0.92563,0.93735
roc_auc,36,0.58305,0.60998,0.81249,0.91157,0.91142,0.91022,0.92338,0.92286,0.92591,0.93103,0.93364
roc_auc,37,0.56593,0.61889,0.74212,0.88801,0.87996,0.88556,0.90044,0.89781,0.90112,0.9018,0.91488
roc_auc,38,0.57776,0.58937,0.7948,0.87839,0.89274,0.8858,0.89467,0.89688,0.89309,0.89462,0.90089
roc_auc,39,0.56636,0.60411,0.81509,0.92877,0.928,0.92875,0.93673,0.94359,0.94523,0.94944,0.95549
roc_auc,40,0.58635,0.60622,0.83483,0.91907,0.92506,0.91411,0.91197,0.90631,0.90603,0.91842,0.92421
roc_auc,41,0.57588,0.53564,0.73758,0.86703,0.87437,0.87214,0.89074,0.89407,0.89876,0.89352,0.89342
roc_auc,42,0.58807,0.64411,0.81791,0.87019,0.88865,0.88865,0.90104,0.9089,0.91128,0.90781,0.92097
roc_auc,43,0.5889,0.61725,0.79309,0.92991,0.92406,0.91227,0.92183,0.90709,0.90349,0.92141,0.90791
roc_auc,44,0.52216,0.55721,0.74485,0.82688,0.83977,0.852,0.8689,0.87161,0.86594,0.87392,0.89427
roc_auc,45,0.59765,0.62968,0.8325,0.93577,0.93767,0.93762,0.93825,0.94056,0.93998,0.93461,0.93873
roc_auc,46,0.51941,0.56508,0.79452,0.9056,0.90245,0.90711,0.91851,0.91482,0.90347,0.90726,0.91162
roc_auc,47,0.66143,0.64105,0.80659,0.91975,0.91212,0.89908,0.9026,0.91197,0.90751,0.92969,0.92357
roc_auc,48,0.61762,0.61708,0.80469,0.92975,0.92687,0.93349,0.94143,0.93928,0.94191,0.94081,0.93827
roc_auc,49,0.59207,0.62267,0.78467,0.87781,0.88562,0.90077,0.9115,0.91385,0.91706,0.89881,0.90415
roc_auc,50,0.60742,0.62192,0.83703,0.92097,0.92803,0.9086,0.91784,0.91953,0.91393,0.91988,0.93155
roc_auc,51,0.52905,0.54949,0.76603,0.8831,0.88934,0.88357,0.90377,0.90332,0.90959,0.90962,0.91787
roc_auc,52,0.62272,0.61124,0.80407,0.91175,0.90358,0.90059,0.90917,0.91416,0.91681,0.91631,0.92589
roc_auc,53,0.56772,0.64862,0.80424,0.90468,0.89941,0.89711,0.8958,0.90405,0.91055,0.92012,0.9208
roc_auc,54,0.57031,0.60405,0.7597,0.84387,0.85157,0.86696,0.87926,0.88421,0.88201,0.87254,0.89435
roc_auc,55,0.59595,0.64414,0.84042,0.91041,0.91447,0.90595,0.92131,0.91351,0.90974,0.90669,0.91537
roc_auc,56,0.57325,0.61157,0.81846,0.93228,0.93537,0.93366,0.93494,0.94098,0.9379,0.94306,0.96009
roc_auc,57,0.55256,0.56195,0.75681,0.84822,0.84689,0.84353,0.85213,0.86434,0.86331,0.8585,0.87763
roc_auc,58,0.57836,0.61348,0.80933,0.9256,0.92612,0.92895,0.9424,0.9345,0.93765,0.93425,0.93294
roc_auc,59,0.61497,0.6841,0.8425,0.8945,0.90446,0.90597,0.91906,0.91846,0.92208,0.92397,0.92592
roc_auc,60,0.60555,0.60497,0.80476,0.8947,0.90235,0.89051,0.90325,0.90435,0.90628,0.90668,0.9128
roc_auc,61,0.54181,0.61463,0.81114,0.91757,0.91807,0.91271,0.92208,0.92097,0.91945,0.93424,0.93973
roc_auc,62,0.5576,0.57797,0.77029,0.90503,0.90503,0.91779,0.91576,0.92245,0.92468,0.93185,0.93006
roc_auc,63,0.6366,0.68156,0.79081,0.85683,0.86201,0.87309,0.87445,0.87507,0.87611,0.8688,0.88362
roc_auc,64,0.60998,0.65349,0.79019,0.86717,0.86502,0.86865,0.87765,0.89189,0.88224,0.8847,0.89335
roc_auc,65,0.54809,0.62122,0.82856,0.93695,0.93339,0.93807,0.9489,0.94838,0.95184,0.95582,0.95124
roc_auc,66,0.62222,0.65586,0.79447,0.87869,0.89135,0.88109,0.8773,0.88523,0.88867,0.89428,0.9003
roc_auc,67,0.55947,0.61501,0.81437,0.92808,0.92563,0.93033,0.93318,0.93383,0.93197,0.93534,0.93123
roc_auc,68,0.60472,0.61577,0.77398,0.89515,0.90205,0.89089,0.90327,0.90337,0.90002,0.90182,0.9137
roc_auc,69,0.58744,0.60215,0.81071,0.88445,0.90164,0.89603,0.90074,0.9026,0.9115,0.90415,0.90089
roc_auc,70,0.55135,0.56079,0.78221,0.90327,0.89782,0.91269,0.92565,0.92766,0.934,0.92652,0.9426
roc_auc,71,0.59188,0.64622,0.83383,0.90109,0.90258,0.8915,0.89648,0.88672,0.88974,0.89398,0.9091
roc_auc,72,0.54503,0.57313,0.80399,0.94823,0.93965,0.94331,0.95384,0.95898,0.96791,0.96555,0.97029
roc_auc,73,0.59337,0.63223,0.81425,0.86755,0.86308,0.86913,0.88404,0.88984,0.88535,0.89207,0.87888
roc_auc,74,0.57383,0.59077,0.78451,0.87679,0.88942,0.89368,0.92015,0.91512,0.90763,0.90981,0.90478
roc_auc,75,0.61284,0.65397,0.82577,0.87559,0.89113,0.87787,0.88897,0.89061,0.8974,0.90134,0.912
roc_auc,76,0.59017,0.66571,0.82282,0.89483,0.90154,0.90932,0.90741,0.9138,0.91222,0.91365,0.9115
roc_auc,77,0.55086,0.57119,0.76865,0.88272,0.88257,0.87875,0.88753,0.9025,0.90693,0.90335,0.91039
roc_auc,78,0.53724,0.59121,0.76197,0.88895,0.89415,0.89628,0.91014,0.91923,0.91651,0.91804,0.92498
roc_auc,79,0.63255,0.64917,0.80439,0.90781,0.91799,0.91428,0.93061,0.93606,0.92763,0.94411,0.95385
roc_auc,80,0.54179,0.61774,0.80785,0.92704,0.94028,0.92784,0.94537,0.94404,0.94539,0.94414,0.95703
roc_auc,81,0.57466,0.54618,0.76299,0.89918,0.90262,0.90814,0.91581,0.91957,0.91508,0.92426,0.91834
roc_auc,82,0.6042,0.63233,0.78105,0.87309,0.88037,0.88124,0.8975,0.89475,0.89995,0.90466,0.90218
roc_auc,83,0.54126,0.58061,0.80371,0.88699,0.8856,0.89988,0.90406,0.91705,0.91024,0.91532,0.91926
roc_auc,84,0.58935,0.65132,0.83335,0.91649,0.92115,0.92571,0.93504,0.9374,0.92544,0.93028,0.94093
roc_auc,85,0.58453,0.61152,0.81176,0.89159,0.89668,0.89472,0.90726,0.91142,0.91065,0.91847,0.9288
roc_auc,86,0.55352,0.58836,0.74869,0.84725,0.84835,0.83891,0.86107,0.86201,0.85413,0.87073,0.87708
roc_auc,87,0.56809,0.58227,0.79876,0.9113,0.91257,0.90696,0.91207,0.91051,0.90991,0.91333,0.91294
roc_auc,88,0.62867,0.63837,0.82871,0.91601,0.9299,0.91859,0.92667,0.93033,0.92403,0.93574,0.94196
roc_auc,89,0.58478,0.62512,0.80163,0.87442,0.87509,0.88176,0.8947,0.90636,0.90643,0.90405,0.91553
roc_auc,90,0.5868,0.63222,0.81916,0.91038,0.91767,0.90369,0.90352,0.90161,0.90349,0.91603,0.93477
roc_auc,91,0.57169,0.58002,0.8047,0.88957,0.88766,0.88657,0.90089,0.89368,0.89641,0.90283,0.8974
