,cocry_2fwy_H64_LIG_dock_1uyg_3
complex_2,-8.06238
step1_200.xyz_2,-7.68737
step2_200_2000_5.0_16930.xyz_2,0.39725
step2_200_2000_5.0_2177.xyz_2,10.66996
step2_200_2000_5.0_27766.xyz_2,1.23769
step2_200_2000_5.0_28005.xyz_2,4.27016
step2_200_2000_5.0_4094.xyz_2,6.90653
step2_200_2000_5.0_47873.xyz_2,10.14019
step2_200_2000_5.0_77285.xyz_2,9.36503
step2_200_2000_5.0_85412.xyz_2,-5.24326
step2_200_2000_5.0_86398.xyz_2,19.1892
step2_200_2000_5.0_86498.xyz_2,20.1766
