,POCKET_RMSD,LIGAND_RMSD
complex.gro,1.7018178701400757,7.61179
step1_200.xyz.gro,1.7018178701400757,7.58416
step2_200_2000_5.0_16930.xyz.gro,1.7140265703201294,8.23086
step2_200_2000_5.0_2177.xyz.gro,1.603838562965393,7.79921
step2_200_2000_5.0_27766.xyz.gro,1.9197429418563843,7.93133
step2_200_2000_5.0_28005.xyz.gro,1.761290431022644,8.10743
step2_200_2000_5.0_4094.xyz.gro,2.1548852920532227,7.90737
step2_200_2000_5.0_47873.xyz.gro,2.2784264087677,8.52788
step2_200_2000_5.0_77285.xyz.gro,1.618186593055725,7.69044
step2_200_2000_5.0_85412.xyz.gro,1.5733556747436523,8.17426
step2_200_2000_5.0_86398.xyz.gro,1.7024978399276733,7.56172
step2_200_2000_5.0_86498.xyz.gro,1.834989070892334,7.68997
