,cocry_2fwy_H64_LIG_dock_1uyg_3
complex_3,-8.04278
step1_200.xyz_3,-7.73691
step2_200_2000_5.0_16930.xyz_3,-8.38532
step2_200_2000_5.0_2177.xyz_3,-7.85507
step2_200_2000_5.0_27766.xyz_3,-6.58805
step2_200_2000_5.0_28005.xyz_3,-7.16672
step2_200_2000_5.0_4094.xyz_3,-7.1895
step2_200_2000_5.0_47873.xyz_3,-6.25503
step2_200_2000_5.0_77285.xyz_3,-8.14386
step2_200_2000_5.0_85412.xyz_3,-6.923
step2_200_2000_5.0_86398.xyz_3,-8.75264
step2_200_2000_5.0_86498.xyz_3,-8.37941
