,,sample_10,sample_20,sample_30,sample_40,sample_50,sample_60,sample_80,sample_100,sample_136
nef_Ra,61,0.26667,0.30667,0.44,0.44,0.38667,0.42667,0.41333,0.46667,0.49333
nef_Ra,62,0.32,0.36,0.34667,0.41333,0.41333,0.41333,0.48,0.38667,0.42667
nef_Ra,63,0.32,0.32,0.33333,0.41333,0.45333,0.44,0.38667,0.45333,0.48
nef_Ra,64,0.26667,0.41333,0.33333,0.44,0.44,0.46667,0.44,0.44,0.48
nef_Ra,65,0.29333,0.32,0.25333,0.4,0.36,0.38667,0.37333,0.42667,0.44
nef_Ra,66,0.45333,0.41333,0.34667,0.45333,0.42667,0.48,0.49333,0.50667,0.49333
nef_Ra,67,0.26667,0.28,0.38667,0.38667,0.42667,0.41333,0.42667,0.41333,0.4
nef_Ra,68,0.32,0.36,0.36,0.42667,0.45333,0.46667,0.45333,0.49333,0.42667
nef_Ra,69,0.25333,0.29333,0.30667,0.37333,0.41333,0.4,0.41333,0.45333,0.38667
nef_Ra,70,0.29333,0.33333,0.38667,0.45333,0.41333,0.46667,0.44,0.46667,0.50667
nef_Ra,71,0.38667,0.34667,0.37333,0.48,0.46667,0.49333,0.4,0.50667,0.48
nef_Ra,72,0.32,0.32,0.4,0.45333,0.44,0.42667,0.42667,0.42667,0.44
nef_Ra,73,0.32,0.38667,0.33333,0.49333,0.42667,0.45333,0.4,0.42667,0.46667
nef_Ra,74,0.28,0.29333,0.32,0.33333,0.30667,0.32,0.30667,0.36,0.38667
nef_Ra,75,0.25333,0.32,0.32,0.53333,0.4,0.52,0.49333,0.50667,0.52
nef_Ra,76,0.33333,0.33333,0.37333,0.53333,0.42667,0.44,0.37333,0.49333,0.45333
nef_Ra,77,0.4,0.38667,0.38667,0.48,0.44,0.45333,0.48,0.48,0.52
nef_Ra,78,0.33333,0.36,0.4,0.41333,0.45333,0.49333,0.46667,0.42667,0.45333
nef_Ra,79,0.25333,0.24,0.30667,0.4,0.36,0.33333,0.33333,0.37333,0.41333
nef_Ra,80,0.36,0.38667,0.41333,0.4,0.45333,0.46667,0.46667,0.42667,0.45333
nef_Ra,81,0.32,0.32,0.4,0.46667,0.4,0.4,0.44,0.49333,0.48
nef_Ra,82,0.36,0.37333,0.29333,0.45333,0.44,0.38667,0.42667,0.45333,0.46667
nef_Ra,83,0.30667,0.34667,0.34667,0.41333,0.38667,0.4,0.41333,0.45333,0.48
nef_Ra,84,0.30667,0.41333,0.34667,0.44,0.4,0.46667,0.45333,0.46667,0.45333
nef_Ra,85,0.30667,0.34667,0.30667,0.41333,0.36,0.44,0.45333,0.42667,0.4
nef_Ra,86,0.33333,0.38667,0.33333,0.44,0.48,0.48,0.45333,0.45333,0.44
nef_Ra,87,0.24,0.29333,0.32,0.41333,0.36,0.4,0.38667,0.46667,0.44
nef_Ra,88,0.33333,0.32,0.33333,0.46667,0.42667,0.44,0.4,0.45333,0.44
nef_Ra,89,0.29333,0.4,0.29333,0.4,0.42667,0.44,0.50667,0.36,0.49333
