	1ezq_RPR_LIG	1f0r_815_LIG	1f0s_PR2_LIG	1fax_DX9_LIG	1g2l_T87_LIG	1g2m_R11_LIG	1ioe_XMA_LIG	1iqe_XMB_LIG	1iqf_XMD_LIG	1iqg_XME_LIG	1iqh_XMF_LIG	1iqi_XMG_LIG	1iqj_XMH_LIG	1iqk_XMI_LIG	1iql_XMJ_LIG	1iqm_XMK_LIG	1iqn_XMC_LIG	1ksn_FXV_LIG	1mq5_XLC_LIG	1mq6_XLD_LIG	1nfu_RRP_LIG	1nfw_RRR_LIG	1nfx_RDR_LIG	1nfy_RTR_LIG	1v3x_D76_LIG	1wu1_D91_LIG	1xka_4PP_LIG	1z6e_IK8_LIG	2bok_784_LIG	2cji_GSK_LIG	2d1j_D01_LIG	2ei6_D92_LIG	2ei7_D93_LIG	2ei8_DT8_LIG	2fzz_5QC_LIG	2g00_4QC_LIG	2h9e_DTY_LIG	2j2u_GSQ_LIG	2j34_GS6_LIG	2j38_GS5_LIG	2j94_G15_LIG	2j95_GSX_LIG	2jkh_BI7_LIG	2p16_GG2_LIG	2p93_ME1_LIG	2p94_ME4_LIG	2p95_ME5_LIG	2phb_230_LIG	2pr3_237_LIG	2q1j_FXI_LIG	2ra0_JNJ_LIG	2uwl_895_LIG	2uwo_701_LIG	2uwp_894_LIG	2vh0_GSI_LIG	2vvc_LZF_LIG	2vvu_H22_LIG	2vwl_LZH_LIG	2vwm_LZI_LIG	2vwn_H25_LIG	2vwo_LZG_LIG	2w26_RIV_LIG	2w3i_L1C_LIG	2w3k_L1D_LIG	2wyg_461_LIG	2wyj_898_LIG	2xbv_XBV_LIG	2xbw_455_LIG	2xbx_RR8_LIG	2xby_63C_LIG	2xc0_8NC_LIG	2xc4_IVK_LIG	2xc5_OYJ_LIG	2y5f_XWG_LIG	2y5g_FJD_LIG	2y5h_Y5H_LIG	2y7x_MZA_LIG	2y7z_C0Z_LIG	2y80_439_LIG	2y81_931_LIG	2y82_930_LIG	3cen_FXA_LIG	3cs7_LG0_LIG	3ffg_FFG_LIG	3iit_D14_LIG	3kl6_443_LIG	3kqb_LGJ_LIG	3kqc_LGK_LIG	3kqd_LGL_LIG	3kqe_LGM_LIG	3liw_RUP_LIG	3m36_M35_LIG	3m37_M37_LIG	3q3k_D90_LIG	3tk5_D1Q_LIG	3tk6_D46_LIG	4y6d_48U_LIG	4y71_48W_LIG	4y76_4O1_LIG	4y79_4O6_LIG	4y7a_987_LIG	4y7b_44I_LIG	4zh8_4O4_LIG	4zha_4O5_LIG	5k0h_6PK_LIG	5vof_RIV_LIG
complex_3	1.63109	9.20758	2.59213	9.72075	9.65233	9.90704	2.20245	4.24186	2.63748	9.51145	1.72848	10.17467	7.44405	9.1959	2.83931	6.702	3.69737	4.30836	9.58997	8.43249	8.39442	8.64736	6.88185	8.5997	8.40137	3.00775	8.78998	6.05826	9.04126	9.30532	10.68483	8.37163	8.5305	8.44376	1.69556	2.91554	9.68416	8.68087	9.14039	8.10751	8.0346	9.97869	7.20282	12.04056	2.58203	4.89225	10.80011	3.73978	2.47325	2.44196	12.23908	9.28927	9.10119	7.76049	3.32179	2.67651	2.5334	2.98389	1.92542	2.63304	2.17729	4.25599	5.42017	5.35573	2.94804	1.36221	4.78406	5.52101	3.13589	5.61618	4.55604	7.73006	8.25554	8.18248	8.74556	7.94632	3.05202	10.34435	8.97178	10.20255	9.21667	5.64454	8.42559	12.36742	8.34178	8.64326	5.93826			4.39926	5.31054	1.8102	2.52406	7.75934	10.39382	9.81169	1.94367	8.4551	9.44421	8.20521	8.72523	9.38258	8.35851	7.78783	7.37747	10.16954
step1_200.xyz_3	1.721	9.23928	2.61645	9.63735	9.64019	9.92302	2.25656	4.17437	2.58671	9.42695	1.77917	10.30364	7.4713	9.1285	2.86852	6.64601	3.6197	4.41568	9.58394	8.47026	8.55358	8.68157	6.88721	8.64023	8.51434	2.96771	8.78232	6.16893	9.19524	9.36459	10.84809	8.46635	8.66208	8.4805	1.74252	3.01636	9.69737	8.69975	9.26661	8.2486	8.14275	10.13052	7.32224	12.09101	2.66529	5.01393	10.87642	3.6862	2.49905	2.49887	12.28621	9.28415	9.20759	7.82154	3.44022	2.63568	2.6056	3.1455	2.02157	2.69893	2.13227	4.13577	5.53221	5.46806	2.90383	1.30454	4.72006	5.55724	3.03923	5.55759	4.62642	7.86252	8.46732	8.23412	8.87666	8.07449	3.25729	10.52166	9.12587	10.31925	9.41691	5.69763	8.37013	12.41456	8.37135	8.74233	6.2189			4.473	5.3325	1.73953	2.57092	7.89416	10.41143	9.87288	1.88431	8.55999	9.58663	8.31371	8.80128	9.42862	8.41594	8.04622	7.34567	10.22292
step2_200_2000_5.0_16930.xyz_3	4.52512	15.10462	3.57142	9.72687	10.10552	10.40046	1.78697	5.05823	3.6242	9.69587	5.99828	9.42718	6.97757	8.79929	11.88632	6.44998	4.01579	6.32591	8.81907	9.19522	8.82284	8.16945	7.24148	17.47574	8.69838	2.85345	9.67241	6.56322	9.79194	9.38716	10.55387	9.16864	9.0885	8.36	3.12958	5.10993	8.87591	9.93143	8.95427	8.48276	8.78034	10.27292	7.59503	10.68176	4.53972	6.42672	12.20655	5.72378	4.32062	4.44184	13.79877	8.85859		7.95054	3.71388	4.14449	6.39623	3.88334	2.96136	4.57109	3.46128	9.16359	6.86247	8.25078	5.54457	5.08627	5.14223	6.62893	4.08341	6.17597	5.22132	8.20984	9.89242	8.36752	9.60662	7.67864	3.09509	10.89712	10.65135	10.14285	9.92253	4.76534	9.30597	12.86146	8.47775	8.80459	6.89852			4.82367	4.78992	4.04219	4.15304	9.01577	10.90531	14.73805	3.3091	10.26502	9.89129	8.51965	13.19611	11.63052	9.37671	6.65034	6.89346	14.30967
step2_200_2000_5.0_2177.xyz_3	2.88606	8.52207	3.73313	9.70097	9.6565	10.04901	1.45229	4.22704	2.51599	9.52047	3.04405	9.36573	12.88491	8.94671	3.35499	7.31996	3.19866	4.36592	8.94463	13.92075	8.44138	9.61869	6.71509	9.67695	10.26422	6.41693	8.30147	7.93921	9.15921	9.71677	11.85598	10.0681	9.04693	9.71137	1.25147	5.35849	10.76711	7.17962	9.33576	7.80951	7.78547	10.03719	7.485	11.68979	2.52872	5.21601	11.60233	3.98705	3.4866	2.96774	12.57294	8.81588	9.06088	7.88143	4.53106	4.25855	2.46621	4.05911	2.9152	2.44511	2.74629	4.08168	6.26056	14.89612	4.10841	1.56381	3.72602	4.99688	1.58666	17.94917	11.15095	7.5532	7.89606	9.02006	8.67172	6.79656	2.36894	12.08433	8.55873	10.49242	10.45665	5.90455	8.79025	12.63939	9.57431	9.05341	6.1389			4.87065	3.3514	6.05196	3.37335	10.40213	11.53526	9.91894	3.1659	8.79738	10.87314	8.02051	8.52458	8.46151	9.20116	8.05254	7.25834	10.86561
step2_200_2000_5.0_27766.xyz_3	2.40829	9.52448	12.17555	9.74247	9.75256	9.56188	2.16149	15.82385	3.85221	8.54229	1.32952	9.51563	13.96678	14.72966	1.90868	7.07589	3.55122	4.99784	14.96559	14.52063	9.13487	9.2565	6.90935	8.65707	7.08318	12.28506	8.27865	6.25572	10.20645	9.31818	11.18412	9.10266	9.62819	7.73541	1.47875	4.7694	8.30191	8.31575	8.94795	7.37936	7.34303	9.95092	9.21766	11.7276	2.36798	5.74394	11.68788	5.15029	2.44498	3.30344	12.15959	8.52201		16.40847	3.70529	2.6268	2.67673	3.87309	2.67158	3.54312	2.07616	10.2591	6.26131	5.50843	2.15876	1.29542	7.98764	5.40688	6.8604	6.44008	3.85858	9.1738	9.02224	13.47106	17.14991	7.798	5.33657	10.15961	9.86689	12.87882	8.52869	4.6361	9.37935	12.79297	8.89938	8.01605	7.29651			4.61349	4.28321	4.6119	3.32915	8.61797	12.78784	10.0897	4.54888	10.28525	9.79464	8.02006	7.95048	8.38355	9.66943	8.08715	6.74427	10.02796
step2_200_2000_5.0_28005.xyz_3	2.49923	9.16094	3.41525	9.24203	9.61021	9.65184	1.80529	3.78795	2.85029	8.91927	3.66472	10.2816	7.95651	8.76183	1.95823	6.20606	3.31566	3.94318	8.89236	8.38195	8.52204	8.43129	6.51342	7.72543	7.40121	3.60423	8.44856	5.30825	10.61121	9.18989	10.92723	9.51165	8.41872	8.60415	2.42745	4.0151	10.23529	8.13656	9.0341	8.44815	7.91237	11.97602	6.89525	11.44803	2.71141	4.95062	11.26283	4.27878	1.61875	3.75618	11.57201	9.30714	9.10355	7.65985	4.89427	3.58178	3.62267	3.49208	2.40863	2.54333	3.31836	4.01197	12.05902	5.08255	13.061	9.27796	9.72024	5.3921	2.81129	5.87223	4.65145	8.11228	8.95051	7.98119	8.28512	7.89508	2.18856	11.178	8.53522	10.18138	10.05826	6.84161	8.39359	11.98908	7.83762	8.55241	6.30801			4.03852	5.19416	3.00915	2.84928	8.51595	11.32785	10.00942	3.20136	8.39461	9.17982	8.17792	8.75367	9.8198	8.7385	7.91993	7.26876	10.17143
step2_200_2000_5.0_4094.xyz_3	1.37228	9.15109	3.39862	9.62692	9.66572	9.35643	3.45123	4.56868	3.73767	9.14654	4.97555	9.52521	8.04471	7.964	5.78427	8.81794	4.16879	4.52711	9.68783	9.69958	9.04552	9.02286	6.86033	8.65802	8.75142	5.3006	8.70143	6.21997	8.45859	8.79036	11.96911	7.24786	6.84321	9.52095	2.58135	3.42008	10.21558	8.32662	8.91601	8.34257	7.56112	9.44998	6.9459	13.33678	3.46986	5.91419	9.45713	3.85582	2.5616	3.62392	11.96278	8.85304	9.85338	8.30559	3.37053	5.30375	3.4981	8.14461	2.89268	2.31168	3.53337	3.55753	6.23103	5.83981	2.61545	1.83035	4.91845	6.44988	4.58203	6.01395	4.59182	6.69551	9.25822	9.00679	8.71987	8.89121	5.36861	10.80295	9.79752	9.13905	11.67027	6.84687	8.68145	11.66599	8.4776	9.24453	5.40845			5.07211	6.25428	4.23239	4.58892	7.37987	10.14983	8.7789	2.37266	9.29239	9.29463	7.01551	9.1776	10.39086	7.42716	10.97563	7.12608	12.28183
step2_200_2000_5.0_47873.xyz_3	2.16814	8.58668	4.01487	10.16044	14.60826	10.0165	4.24725	4.44233	3.63909	10.56589	2.67353	9.37709	7.2744	9.57614	2.89121	13.12985	3.66146	3.99392	9.59779	10.53168	8.57963	9.24383	8.66202	8.83451	8.64403	4.93181	9.0052	7.40122	7.983	8.82084	15.66559	7.94392	8.98352	7.22797	15.53352	4.62368	9.81007	8.19333	9.05495	7.37024	8.52718	10.0237	7.62223	10.81301	5.49768	4.2149	11.40327	4.86379	3.18459	3.02712	12.82871	8.02777		7.20812	4.02262	4.54883	5.30907	4.92138	2.06487	2.52833	2.44841	4.48283	5.1884	5.31897	4.10727	6.41519	6.64863	5.00683	2.13628	6.26242	5.41082	7.74625	9.23704	8.07811	7.80165	8.2356	4.17055	10.21425	7.89528	10.92321	10.27082	6.13401	8.22257	12.72442	10.10002	8.41814	7.72389			4.60596	6.11801	3.65101	3.34214	7.86257	10.71448	10.60475	1.45767	7.98678	9.61013	9.45716	8.44297	10.11774	8.90554	7.62303	7.51137	15.13783
step2_200_2000_5.0_77285.xyz_3	2.23514	9.1107	3.72435	9.33774	9.86395	9.46824	4.96521	4.09907	3.28624	9.78535	3.09803	8.24899	8.15674	10.79657	3.6713	7.18004	4.05454	5.88129	8.88067	9.04185	8.84093	8.28013	7.96387	7.8985	8.44701	5.35682	9.27645	7.8286	7.17729	9.05533	9.93363	7.54527	8.55503	8.43672	3.88272	3.77325	9.86506	8.12797	9.86903	7.3729	8.47469	9.79804	7.77318	11.8425	2.98539	5.44742	11.13471	3.849	3.68807	13.46337	11.59125	8.74869	9.83135	7.05206	3.46894	2.8333	3.19423	4.16224	2.42982	4.09148	2.59411	4.45517	5.20326	6.15748	4.59053	1.51125	2.5032	6.56879	3.92382	6.32327	7.6826	6.78463	9.17821	8.95218	10.50878	8.26853	4.25805	9.81289	9.36234	9.31963	10.1355	5.1425	8.20711	12.24012	10.12284	8.67355	6.30857			4.42715	5.51089	2.23133	2.64868	8.65904	11.93885	11.11686	2.91426	8.53244	9.97446	7.27131	9.50469	10.45124	8.96878	7.95259	6.96473	10.60858
step2_200_2000_5.0_85412.xyz_3	2.55093	16.85188	4.00091	14.9779	9.82044	9.78545	1.80903	4.84146	2.80682	10.22512	6.71634	11.33316	8.4283	8.69732	5.53444	7.45585	3.19743	4.17655	8.96229	9.42453	10.22096	8.8456	6.84078	7.59899	7.0254	4.20479	8.80661	6.45441	9.59233	8.33149	10.79776	9.09875	9.39205	7.58763	2.31474	3.85563	10.28661	8.2508	8.21337	7.88728	7.01364	10.15758	7.94488	11.47257	3.62754	5.27275	11.83847	3.49254	2.71293	3.3983	11.98748	8.82395	8.82564	8.75867	3.7963	4.22827	5.7247	8.01476	2.97535	2.62015	4.326	5.60101	5.06033	5.46517	2.47829	2.18306	4.22581	5.12253	3.65299	6.39237	5.18122	7.42834	8.64961	8.51155	8.85603	7.91865	1.39542	11.68759	10.44965	10.00958	9.93559	5.27807	7.90961	12.43559	7.93612	9.36493	5.61376			5.05835	4.8083	5.74303	12.9663	8.05596	11.36215	8.14211	1.84376	8.55266	11.95515	7.9397	8.71408	10.00661	8.75527	7.50286	7.04452	9.74741
