,,sample_10,sample_20,sample_30,sample_40,sample_50,sample_60,sample_80,sample_100,sample_200,sample_402
nef_Ra,53,0.43363,0.36283,0.45133,0.46903,0.49558,0.48673,0.55752,0.54867,0.57522,0.60177
nef_Ra,54,0.36283,0.41593,0.45133,0.53097,0.51327,0.52212,0.53097,0.56637,0.59292,0.62832
nef_Ra,55,0.33036,0.38393,0.42857,0.50893,0.45536,0.47321,0.52679,0.51786,0.55357,0.54464
nef_Ra,56,0.40179,0.47321,0.49107,0.51786,0.5625,0.58036,0.61607,0.63393,0.63393,0.625
nef_Ra,57,0.44248,0.48673,0.50442,0.53982,0.58407,0.60177,0.62832,0.63717,0.62832,0.63717
nef_Ra,58,0.37168,0.43363,0.43363,0.53097,0.49558,0.49558,0.53097,0.53097,0.53097,0.58407
nef_Ra,59,0.35714,0.41071,0.45536,0.4375,0.5,0.53571,0.52679,0.51786,0.5625,0.63393
nef_Ra,60,0.34821,0.4375,0.4375,0.52679,0.51786,0.51786,0.51786,0.51786,0.53571,0.58036
nef_Ra,61,0.42478,0.52212,0.57522,0.53982,0.56637,0.61062,0.61947,0.61062,0.60177,0.61062
nef_Ra,62,0.32743,0.38938,0.44248,0.50442,0.58407,0.53982,0.56637,0.61062,0.59292,0.62832
nef_Ra,63,0.32143,0.36607,0.4375,0.46429,0.47321,0.44643,0.52679,0.48214,0.51786,0.61607
nef_Ra,64,0.375,0.42857,0.45536,0.51786,0.52679,0.51786,0.5625,0.5625,0.59821,0.64286
nef_Ra,65,0.35398,0.38938,0.46903,0.49558,0.47788,0.46018,0.52212,0.53982,0.54867,0.55752
nef_Ra,66,0.40708,0.45133,0.47788,0.53982,0.52212,0.54867,0.55752,0.55752,0.57522,0.56637
nef_Ra,67,0.33929,0.46429,0.45536,0.5,0.53571,0.51786,0.60714,0.57143,0.625,0.63393
nef_Ra,68,0.36607,0.45536,0.48214,0.50893,0.55357,0.54464,0.58929,0.58036,0.57143,0.625
nef_Ra,69,0.38053,0.46018,0.48673,0.53097,0.53097,0.53982,0.57522,0.56637,0.61062,0.63717
nef_Ra,70,0.31858,0.39823,0.47788,0.50442,0.50442,0.53097,0.51327,0.50442,0.53982,0.59292
nef_Ra,71,0.35714,0.42857,0.47321,0.50893,0.52679,0.52679,0.51786,0.5625,0.61607,0.60714
nef_Ra,72,0.36607,0.4375,0.47321,0.49107,0.50893,0.49107,0.54464,0.54464,0.53571,0.58929
nef_Ra,73,0.33628,0.40708,0.47788,0.50442,0.48673,0.52212,0.54867,0.57522,0.61062,0.60177
nef_Ra,74,0.43363,0.48673,0.46018,0.49558,0.53097,0.53097,0.55752,0.56637,0.59292,0.60177
nef_Ra,75,0.34821,0.41964,0.45536,0.44643,0.5,0.51786,0.51786,0.50893,0.54464,0.59821
