,,sample_10,sample_20,sample_30,sample_40,sample_50,sample_60,sample_80,sample_100,sample_200,sample_402
nef_Ra,53,0.41346,0.41346,0.47115,0.56731,0.55769,0.50962,0.50962,0.59615,0.625,0.63462
nef_Ra,54,0.5,0.47115,0.47115,0.56731,0.53846,0.59615,0.60577,0.60577,0.58654,0.66346
nef_Ra,55,0.3301,0.47573,0.51456,0.59223,0.54369,0.53398,0.62136,0.58252,0.62136,0.65049
nef_Ra,56,0.39423,0.42308,0.45192,0.5,0.44231,0.48077,0.53846,0.51923,0.53846,0.55769
nef_Ra,57,0.42308,0.49038,0.53846,0.57692,0.52885,0.52885,0.56731,0.54808,0.61538,0.65385
nef_Ra,58,0.40385,0.44231,0.54808,0.54808,0.56731,0.57692,0.57692,0.65385,0.625,0.68269
nef_Ra,59,0.40777,0.45631,0.48544,0.61165,0.56311,0.56311,0.60194,0.65049,0.63107,0.62136
nef_Ra,60,0.35577,0.40385,0.44231,0.52885,0.5,0.54808,0.58654,0.52885,0.58654,0.58654
nef_Ra,61,0.40385,0.48077,0.56731,0.58654,0.58654,0.54808,0.57692,0.625,0.59615,0.64423
nef_Ra,62,0.42308,0.44231,0.43269,0.54808,0.51923,0.52885,0.56731,0.55769,0.60577,0.66346
nef_Ra,63,0.37864,0.42718,0.41748,0.5534,0.53398,0.51456,0.56311,0.59223,0.60194,0.61165
nef_Ra,64,0.35577,0.47115,0.48077,0.57692,0.5,0.53846,0.57692,0.625,0.61538,0.61538
nef_Ra,65,0.47115,0.50962,0.50962,0.57692,0.58654,0.54808,0.59615,0.625,0.63462,0.65385
nef_Ra,66,0.36538,0.45192,0.49038,0.56731,0.53846,0.54808,0.58654,0.61538,0.56731,0.625
nef_Ra,67,0.37864,0.41748,0.46602,0.5534,0.48544,0.51456,0.52427,0.54369,0.57282,0.59223
nef_Ra,68,0.35577,0.47115,0.46154,0.53846,0.55769,0.50962,0.59615,0.57692,0.58654,0.61538
nef_Ra,69,0.41346,0.46154,0.46154,0.52885,0.50962,0.54808,0.58654,0.49038,0.54808,0.58654
nef_Ra,70,0.39423,0.47115,0.49038,0.51923,0.5,0.51923,0.56731,0.55769,0.63462,0.63462
nef_Ra,71,0.45631,0.43689,0.51456,0.61165,0.54369,0.56311,0.62136,0.62136,0.65049,0.68932
nef_Ra,72,0.38462,0.40385,0.48077,0.59615,0.54808,0.54808,0.53846,0.58654,0.60577,0.61538
nef_Ra,73,0.41346,0.42308,0.53846,0.57692,0.59615,0.55769,0.59615,0.64423,0.66346,0.65385
nef_Ra,74,0.45192,0.48077,0.47115,0.57692,0.51923,0.51923,0.54808,0.55769,0.57692,0.68269
nef_Ra,75,0.35922,0.41748,0.36893,0.49515,0.51456,0.45631,0.49515,0.4466,0.51456,0.5534
nef_Ra,76,0.41346,0.38462,0.43269,0.55769,0.52885,0.57692,0.53846,0.51923,0.61538,0.60577
nef_Ra,77,0.47115,0.45192,0.49038,0.56731,0.52885,0.56731,0.57692,0.625,0.60577,0.63462
nef_Ra,78,0.43269,0.44231,0.50962,0.54808,0.53846,0.54808,0.60577,0.58654,0.625,0.65385
nef_Ra,79,0.37864,0.47573,0.4466,0.50485,0.47573,0.49515,0.56311,0.57282,0.56311,0.62136
nef_Ra,80,0.41346,0.51923,0.47115,0.60577,0.56731,0.57692,0.56731,0.55769,0.64423,0.625
nef_Ra,81,0.45192,0.41346,0.57692,0.59615,0.54808,0.54808,0.56731,0.59615,0.59615,0.66346
nef_Ra,82,0.38462,0.42308,0.47115,0.50962,0.55769,0.50962,0.54808,0.56731,0.55769,0.56731
nef_Ra,83,0.32039,0.4466,0.49515,0.5534,0.49515,0.46602,0.57282,0.54369,0.59223,0.60194
nef_Ra,84,0.33654,0.40385,0.5,0.49038,0.53846,0.47115,0.5,0.52885,0.57692,0.57692
nef_Ra,85,0.39423,0.49038,0.51923,0.53846,0.50962,0.52885,0.55769,0.55769,0.57692,0.63462
nef_Ra,86,0.42308,0.47115,0.51923,0.625,0.58654,0.55769,0.60577,0.56731,0.625,0.69231
nef_Ra,87,0.4466,0.43689,0.49515,0.60194,0.54369,0.56311,0.59223,0.63107,0.64078,0.65049
nef_Ra,88,0.44231,0.47115,0.51923,0.55769,0.50962,0.50962,0.55769,0.57692,0.58654,0.67308
nef_Ra,89,0.38462,0.43269,0.48077,0.51923,0.55769,0.50962,0.53846,0.56731,0.55769,0.59615
nef_Ra,90,0.38462,0.50962,0.50962,0.56731,0.54808,0.53846,0.59615,0.61538,0.63462,0.67308
nef_Ra,91,0.34951,0.43689,0.48544,0.56311,0.50485,0.5534,0.58252,0.60194,0.61165,0.61165
nef_Ra,92,0.44231,0.45192,0.44231,0.54808,0.51923,0.51923,0.54808,0.55769,0.59615,0.60577
nef_Ra,93,0.375,0.42308,0.52885,0.58654,0.56731,0.54808,0.56731,0.57692,0.64423,0.66346
nef_Ra,94,0.41346,0.45192,0.44231,0.53846,0.5,0.50962,0.58654,0.58654,0.57692,0.57692
nef_Ra,95,0.37864,0.43689,0.54369,0.56311,0.57282,0.56311,0.58252,0.5534,0.57282,0.63107
nef_Ra,96,0.35577,0.48077,0.5,0.57692,0.56731,0.53846,0.60577,0.625,0.625,0.68269
nef_Ra,97,0.42308,0.47115,0.41346,0.55769,0.49038,0.49038,0.45192,0.55769,0.54808,0.52885
nef_Ra,98,0.43269,0.42308,0.53846,0.54808,0.54808,0.52885,0.57692,0.63462,0.625,0.625
nef_Ra,99,0.37864,0.4466,0.42718,0.49515,0.50485,0.54369,0.5534,0.52427,0.60194,0.5534
nef_Ra,100,0.38462,0.41346,0.46154,0.50962,0.5,0.49038,0.53846,0.55769,0.55769,0.60577
nef_Ra,101,0.42308,0.49038,0.52885,0.54808,0.59615,0.52885,0.61538,0.57692,0.57692,0.65385
nef_Ra,102,0.36538,0.43269,0.46154,0.57692,0.56731,0.51923,0.56731,0.60577,0.64423,0.61538
nef_Ra,103,0.38835,0.46602,0.4466,0.5534,0.48544,0.51456,0.56311,0.58252,0.58252,0.60194
nef_Ra,104,0.41346,0.43269,0.5,0.56731,0.55769,0.50962,0.52885,0.59615,0.59615,0.64423
nef_Ra,105,0.36538,0.45192,0.51923,0.58654,0.56731,0.59615,0.59615,0.61538,0.64423,0.625
nef_Ra,106,0.375,0.47115,0.5,0.58654,0.56731,0.52885,0.57692,0.63462,0.64423,0.71154
nef_Ra,107,0.35922,0.37864,0.39806,0.51456,0.45631,0.56311,0.46602,0.50485,0.53398,0.53398
nef_Ra,108,0.32692,0.41346,0.47115,0.50962,0.50962,0.53846,0.58654,0.60577,0.61538,0.61538
nef_Ra,109,0.38462,0.5,0.49038,0.56731,0.51923,0.54808,0.59615,0.60577,0.59615,0.60577
nef_Ra,110,0.35577,0.44231,0.45192,0.55769,0.50962,0.48077,0.52885,0.50962,0.54808,0.58654
