,,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
nef_Ra,49,0.19091,0.2,0.30909,0.4,0.56364,0.67273,0.69091,0.72727,0.72727,0.71818,0.74545
nef_Ra,50,0.21622,0.25225,0.36036,0.4955,0.58559,0.63063,0.67568,0.66667,0.67568,0.67568,0.69369
nef_Ra,51,0.27027,0.25225,0.33333,0.46847,0.64865,0.74775,0.76577,0.79279,0.79279,0.74775,0.78378
nef_Ra,52,0.22727,0.26364,0.38182,0.43636,0.56364,0.61818,0.68182,0.67273,0.7,0.69091,0.69091
nef_Ra,53,0.2,0.24545,0.34545,0.41818,0.62727,0.7,0.72727,0.73636,0.75455,0.73636,0.73636
nef_Ra,54,0.17117,0.24324,0.30631,0.43243,0.57658,0.72072,0.73874,0.73874,0.72973,0.73874,0.71171
nef_Ra,55,0.20721,0.16216,0.32432,0.46847,0.6036,0.72973,0.73874,0.74775,0.76577,0.76577,0.77477
nef_Ra,56,0.22727,0.22727,0.34545,0.45455,0.62727,0.75455,0.78182,0.8,0.80909,0.81818,0.8
nef_Ra,57,0.2,0.16364,0.25455,0.43636,0.54545,0.69091,0.70909,0.70909,0.73636,0.71818,0.71818
nef_Ra,58,0.22523,0.23423,0.2973,0.42342,0.52252,0.63063,0.68468,0.66667,0.66667,0.66667,0.66667
nef_Ra,59,0.18018,0.20721,0.33333,0.42342,0.59459,0.72973,0.75676,0.76577,0.78378,0.78378,0.77477
nef_Ra,60,0.24545,0.24545,0.28182,0.44545,0.59091,0.67273,0.7,0.73636,0.72727,0.76364,0.74545
nef_Ra,61,0.21818,0.2,0.27273,0.39091,0.55455,0.64545,0.68182,0.69091,0.69091,0.68182,0.7
nef_Ra,62,0.1982,0.22523,0.33333,0.3964,0.66667,0.75676,0.76577,0.77477,0.75676,0.75676,0.74775
nef_Ra,63,0.17117,0.17117,0.28829,0.42342,0.55856,0.72072,0.75676,0.75676,0.77477,0.72973,0.76577
nef_Ra,64,0.25455,0.22727,0.26364,0.4,0.55455,0.71818,0.70909,0.72727,0.72727,0.73636,0.74545
nef_Ra,65,0.18182,0.2,0.27273,0.40909,0.57273,0.70909,0.73636,0.72727,0.73636,0.74545,0.72727
nef_Ra,66,0.17117,0.24324,0.31532,0.48649,0.59459,0.69369,0.72973,0.74775,0.74775,0.78378,0.75676
nef_Ra,67,0.22523,0.20721,0.31532,0.42342,0.59459,0.64865,0.71171,0.7027,0.72973,0.7027,0.72072
nef_Ra,68,0.20909,0.21818,0.3,0.41818,0.56364,0.7,0.74545,0.75455,0.74545,0.75455,0.75455
nef_Ra,69,0.23636,0.22727,0.27273,0.39091,0.60909,0.69091,0.68182,0.72727,0.72727,0.74545,0.72727
nef_Ra,70,0.24324,0.26126,0.37838,0.47748,0.54955,0.68468,0.73874,0.72072,0.72973,0.72973,0.74775
nef_Ra,71,0.23423,0.18919,0.32432,0.45946,0.57658,0.7027,0.74775,0.75676,0.76577,0.75676,0.76577
nef_Ra,72,0.15455,0.16364,0.3,0.41818,0.57273,0.7,0.68182,0.71818,0.71818,0.73636,0.74545
nef_Ra,73,0.24545,0.22727,0.30909,0.42727,0.50909,0.65455,0.69091,0.71818,0.71818,0.75455,0.72727
nef_Ra,74,0.25225,0.23423,0.34234,0.43243,0.63964,0.74775,0.74775,0.75676,0.76577,0.75676,0.76577
nef_Ra,75,0.18919,0.22523,0.28829,0.36036,0.57658,0.66667,0.68468,0.68468,0.71171,0.72072,0.72072
nef_Ra,76,0.17273,0.20909,0.3,0.40909,0.6,0.69091,0.72727,0.73636,0.76364,0.76364,0.79091
nef_Ra,77,0.18182,0.2,0.3,0.43636,0.55455,0.67273,0.69091,0.72727,0.72727,0.71818,0.70909
nef_Ra,78,0.1982,0.23423,0.31532,0.38739,0.55856,0.69369,0.72973,0.73874,0.74775,0.72072,0.75676
nef_Ra,79,0.27928,0.26126,0.31532,0.40541,0.62162,0.69369,0.72072,0.7027,0.72072,0.72072,0.7027
nef_Ra,80,0.18182,0.21818,0.29091,0.37273,0.48182,0.68182,0.71818,0.73636,0.74545,0.74545,0.74545
nef_Ra,81,0.16364,0.21818,0.3,0.4,0.55455,0.64545,0.7,0.71818,0.72727,0.72727,0.72727
nef_Ra,82,0.26126,0.23423,0.35135,0.4955,0.58559,0.7027,0.73874,0.74775,0.74775,0.73874,0.73874
