,,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
nef_Ra,14,0.15315,0.45045,0.55856,0.6036,0.69369,0.75676,0.78378,0.77477,0.79279,0.8018,0.8018
nef_Ra,15,0.20721,0.40541,0.59459,0.63063,0.68468,0.73874,0.75676,0.77477,0.75676,0.75676,0.75676
nef_Ra,16,0.2,0.36364,0.55455,0.6,0.7,0.75455,0.79091,0.78182,0.78182,0.75455,0.77273
nef_Ra,17,0.23636,0.44545,0.59091,0.61818,0.7,0.7,0.75455,0.78182,0.79091,0.8,0.78182
nef_Ra,18,0.24324,0.41441,0.54054,0.58559,0.66667,0.74775,0.76577,0.79279,0.79279,0.78378,0.79279
nef_Ra,19,0.21622,0.38739,0.57658,0.61261,0.69369,0.71171,0.72072,0.72973,0.72973,0.72973,0.73874
nef_Ra,20,0.15455,0.32727,0.54545,0.59091,0.65455,0.72727,0.78182,0.78182,0.8,0.79091,0.79091
nef_Ra,21,0.23636,0.41818,0.55455,0.62727,0.70909,0.77273,0.75455,0.75455,0.78182,0.74545,0.78182
nef_Ra,22,0.20721,0.45045,0.56757,0.58559,0.65766,0.73874,0.75676,0.77477,0.75676,0.79279,0.78378
nef_Ra,23,0.23423,0.45045,0.56757,0.63964,0.67568,0.73874,0.74775,0.73874,0.75676,0.73874,0.74775
nef_Ra,24,0.24545,0.40909,0.56364,0.6,0.65455,0.73636,0.80909,0.76364,0.76364,0.76364,0.77273
nef_Ra,25,0.23636,0.40909,0.52727,0.59091,0.68182,0.70909,0.71818,0.74545,0.75455,0.76364,0.76364
nef_Ra,26,0.20721,0.40541,0.57658,0.58559,0.68468,0.71171,0.72973,0.72072,0.74775,0.73874,0.72973
nef_Ra,27,0.25225,0.44144,0.6036,0.6036,0.7027,0.79279,0.77477,0.78378,0.78378,0.78378,0.78378
nef_Ra,28,0.2,0.44545,0.55455,0.6,0.7,0.75455,0.74545,0.75455,0.77273,0.74545,0.78182
nef_Ra,29,0.19091,0.41818,0.58182,0.60909,0.70909,0.77273,0.8,0.8,0.8,0.8,0.8
nef_Ra,30,0.26126,0.42342,0.57658,0.63063,0.7027,0.77477,0.75676,0.78378,0.77477,0.79279,0.79279
nef_Ra,31,0.17117,0.36937,0.54955,0.55856,0.6036,0.69369,0.7027,0.72973,0.72973,0.71171,0.72072
nef_Ra,32,0.22727,0.42727,0.6,0.66364,0.72727,0.79091,0.78182,0.80909,0.8,0.81818,0.8
nef_Ra,33,0.20909,0.38182,0.58182,0.58182,0.69091,0.74545,0.77273,0.76364,0.77273,0.76364,0.78182
nef_Ra,34,0.1982,0.36036,0.4955,0.53153,0.61261,0.72973,0.71171,0.74775,0.69369,0.72973,0.71171
nef_Ra,35,0.26126,0.42342,0.54054,0.56757,0.65766,0.72973,0.74775,0.74775,0.74775,0.75676,0.74775
nef_Ra,36,0.26364,0.41818,0.59091,0.6,0.67273,0.75455,0.76364,0.79091,0.79091,0.78182,0.78182
nef_Ra,37,0.20909,0.4,0.50909,0.54545,0.65455,0.71818,0.72727,0.74545,0.73636,0.76364,0.74545
nef_Ra,38,0.23423,0.42342,0.56757,0.63063,0.69369,0.71171,0.74775,0.72973,0.76577,0.74775,0.75676
nef_Ra,39,0.18919,0.40541,0.54955,0.58559,0.71171,0.75676,0.74775,0.76577,0.75676,0.76577,0.75676
nef_Ra,40,0.18182,0.4,0.57273,0.55455,0.66364,0.7,0.73636,0.76364,0.75455,0.75455,0.75455
nef_Ra,41,0.2,0.4,0.56364,0.57273,0.69091,0.76364,0.77273,0.8,0.79091,0.81818,0.81818
nef_Ra,42,0.17117,0.44144,0.6036,0.62162,0.71171,0.72973,0.73874,0.73874,0.73874,0.73874,0.75676
nef_Ra,43,0.20721,0.37838,0.54955,0.55856,0.64865,0.73874,0.72973,0.73874,0.74775,0.75676,0.76577
nef_Ra,44,0.18182,0.49091,0.59091,0.6,0.66364,0.73636,0.77273,0.77273,0.77273,0.77273,0.76364
nef_Ra,45,0.14545,0.39091,0.51818,0.51818,0.64545,0.72727,0.75455,0.77273,0.78182,0.78182,0.78182
nef_Ra,46,0.25225,0.44144,0.54955,0.59459,0.68468,0.69369,0.72973,0.73874,0.72973,0.72973,0.71171
nef_Ra,47,0.2973,0.3964,0.61261,0.61261,0.74775,0.8018,0.78378,0.78378,0.81081,0.79279,0.81982
nef_Ra,48,0.18182,0.39091,0.58182,0.6,0.68182,0.73636,0.76364,0.76364,0.79091,0.79091,0.78182
nef_Ra,49,0.19091,0.39091,0.54545,0.56364,0.64545,0.73636,0.75455,0.73636,0.73636,0.74545,0.76364
nef_Ra,50,0.21622,0.40541,0.53153,0.61261,0.68468,0.69369,0.71171,0.7027,0.74775,0.73874,0.74775
nef_Ra,51,0.27027,0.42342,0.63964,0.67568,0.74775,0.76577,0.79279,0.79279,0.81081,0.81982,0.8018
nef_Ra,52,0.22727,0.40909,0.54545,0.57273,0.65455,0.67273,0.72727,0.73636,0.73636,0.72727,0.72727
nef_Ra,53,0.2,0.43636,0.57273,0.60909,0.71818,0.72727,0.72727,0.72727,0.71818,0.74545,0.74545
nef_Ra,54,0.17117,0.36036,0.54955,0.54054,0.65766,0.72072,0.72072,0.74775,0.76577,0.75676,0.78378
nef_Ra,55,0.20721,0.3964,0.55856,0.58559,0.73874,0.77477,0.79279,0.78378,0.78378,0.81982,0.81081
nef_Ra,56,0.22727,0.4,0.53636,0.57273,0.72727,0.78182,0.8,0.80909,0.82727,0.82727,0.85455
nef_Ra,57,0.2,0.40909,0.60909,0.67273,0.67273,0.75455,0.76364,0.73636,0.76364,0.76364,0.76364
nef_Ra,58,0.22523,0.42342,0.52252,0.58559,0.59459,0.72973,0.71171,0.71171,0.72072,0.72973,0.71171
nef_Ra,59,0.18018,0.3964,0.56757,0.62162,0.7027,0.78378,0.76577,0.79279,0.78378,0.77477,0.8018
nef_Ra,60,0.24545,0.43636,0.5,0.56364,0.66364,0.7,0.72727,0.75455,0.76364,0.76364,0.74545
nef_Ra,61,0.21818,0.30909,0.5,0.52727,0.65455,0.68182,0.69091,0.70909,0.7,0.70909,0.71818
nef_Ra,62,0.1982,0.36036,0.59459,0.57658,0.65766,0.77477,0.76577,0.77477,0.77477,0.79279,0.77477
nef_Ra,63,0.17117,0.4955,0.64865,0.7027,0.72072,0.78378,0.8018,0.81982,0.8018,0.81081,0.81081
nef_Ra,64,0.25455,0.41818,0.52727,0.6,0.7,0.70909,0.72727,0.75455,0.75455,0.75455,0.76364
nef_Ra,65,0.18182,0.42727,0.58182,0.62727,0.68182,0.74545,0.71818,0.74545,0.77273,0.74545,0.76364
nef_Ra,66,0.17117,0.45946,0.57658,0.6036,0.7027,0.75676,0.77477,0.81081,0.78378,0.77477,0.79279
nef_Ra,67,0.22523,0.41441,0.56757,0.61261,0.7027,0.72072,0.75676,0.74775,0.74775,0.74775,0.76577
nef_Ra,68,0.20909,0.44545,0.57273,0.6,0.69091,0.74545,0.76364,0.76364,0.78182,0.79091,0.76364
nef_Ra,69,0.23636,0.38182,0.50909,0.54545,0.65455,0.69091,0.70909,0.7,0.71818,0.73636,0.72727
nef_Ra,70,0.24324,0.44144,0.59459,0.59459,0.71171,0.77477,0.76577,0.75676,0.77477,0.76577,0.76577
nef_Ra,71,0.23423,0.37838,0.55856,0.61261,0.66667,0.75676,0.75676,0.76577,0.76577,0.75676,0.79279
nef_Ra,72,0.15455,0.39091,0.58182,0.65455,0.70909,0.75455,0.77273,0.75455,0.75455,0.76364,0.76364
nef_Ra,73,0.24545,0.38182,0.52727,0.6,0.66364,0.71818,0.72727,0.73636,0.72727,0.72727,0.72727
nef_Ra,74,0.25225,0.35135,0.58559,0.61261,0.66667,0.77477,0.77477,0.77477,0.79279,0.78378,0.8018
nef_Ra,75,0.18919,0.3964,0.53153,0.57658,0.64865,0.68468,0.71171,0.71171,0.72973,0.73874,0.73874
nef_Ra,76,0.17273,0.39091,0.55455,0.59091,0.68182,0.76364,0.77273,0.77273,0.8,0.78182,0.8
nef_Ra,77,0.18182,0.40909,0.52727,0.60909,0.67273,0.7,0.73636,0.74545,0.74545,0.74545,0.75455
nef_Ra,78,0.1982,0.43243,0.58559,0.59459,0.72072,0.75676,0.75676,0.74775,0.76577,0.76577,0.77477
nef_Ra,79,0.27928,0.42342,0.59459,0.56757,0.65766,0.72072,0.71171,0.7027,0.72072,0.72072,0.72072
nef_Ra,80,0.18182,0.32727,0.53636,0.58182,0.63636,0.73636,0.72727,0.72727,0.74545,0.76364,0.75455
nef_Ra,81,0.16364,0.41818,0.53636,0.61818,0.72727,0.71818,0.73636,0.73636,0.73636,0.75455,0.75455
nef_Ra,82,0.26126,0.38739,0.51351,0.54054,0.66667,0.71171,0.73874,0.74775,0.75676,0.73874,0.74775
nef_Ra,83,0.22523,0.43243,0.63063,0.67568,0.72072,0.76577,0.79279,0.8018,0.79279,0.79279,0.79279
nef_Ra,84,0.18182,0.41818,0.58182,0.60909,0.7,0.73636,0.75455,0.77273,0.75455,0.76364,0.75455
nef_Ra,85,0.13636,0.4,0.57273,0.59091,0.73636,0.79091,0.82727,0.81818,0.82727,0.83636,0.81818
nef_Ra,86,0.20721,0.3964,0.53153,0.6036,0.7027,0.72072,0.7027,0.73874,0.73874,0.74775,0.73874
nef_Ra,87,0.26126,0.44144,0.55856,0.57658,0.63964,0.71171,0.72973,0.72072,0.72973,0.73874,0.73874
nef_Ra,88,0.23636,0.40909,0.61818,0.6,0.68182,0.70909,0.73636,0.77273,0.75455,0.74545,0.78182
nef_Ra,89,0.19091,0.44545,0.60909,0.63636,0.69091,0.74545,0.76364,0.77273,0.79091,0.77273,0.79091
nef_Ra,90,0.1982,0.36937,0.56757,0.63063,0.73874,0.81081,0.81982,0.81982,0.82883,0.81081,0.81982
nef_Ra,91,0.23423,0.38739,0.54955,0.57658,0.63964,0.72973,0.72072,0.73874,0.72973,0.73874,0.72072
nef_Ra,92,0.21818,0.38182,0.58182,0.61818,0.7,0.74545,0.75455,0.75455,0.76364,0.76364,0.77273
nef_Ra,93,0.22727,0.4,0.57273,0.60909,0.70909,0.76364,0.78182,0.8,0.80909,0.8,0.77273
