,,LR,GBT,DClf
roc_auc,18,0.87156,0.91046,0.50441
roc_auc,19,0.84154,0.86226,0.50307
roc_auc,20,0.80572,0.89133,0.52443
roc_auc,21,0.85609,0.87597,0.50737
roc_auc,22,0.82697,0.84364,0.50374
roc_auc,23,0.82102,0.90235,0.48071
roc_auc,24,0.84485,0.86787,0.48147
roc_auc,25,0.8449,0.87629,0.52239
roc_auc,26,0.84735,0.88773,0.49936
roc_auc,27,0.77694,0.83522,0.51041
roc_auc,28,0.80812,0.88322,0.49042
roc_auc,29,0.84338,0.88116,0.49209
roc_auc,30,0.84055,0.88851,0.50602
roc_auc,31,0.81401,0.84766,0.51471
roc_auc,32,0.8287,0.87601,0.48039
roc_auc,33,0.81435,0.85252,0.49471
roc_auc,34,0.83173,0.865,0.49943
roc_auc,35,0.80298,0.86891,0.48838
roc_auc,36,0.82185,0.86306,0.52173
roc_auc,37,0.83265,0.87842,0.50947
roc_auc,38,0.82463,0.90383,0.51572
roc_auc,39,0.81879,0.87266,0.5034
roc_auc,40,0.81954,0.86986,0.52173
roc_auc,41,0.82581,0.88343,0.50239
roc_auc,42,0.79978,0.84141,0.49835
roc_auc,43,0.86226,0.87776,0.48771
roc_auc,44,0.81606,0.83826,0.50941
roc_auc,45,0.81295,0.84055,0.50576
roc_auc,46,0.83656,0.89237,0.49142
roc_auc,47,0.83848,0.85859,0.4964
roc_auc,48,0.80075,0.82565,0.49473
roc_auc,49,0.82742,0.85676,0.48704
roc_auc,50,0.84744,0.9077,0.48468
roc_auc,51,0.82138,0.90381,0.49876
roc_auc,52,0.84114,0.90079,0.48975
roc_auc,53,0.81629,0.84166,0.50071
roc_auc,54,0.85424,0.91152,0.4894
roc_auc,55,0.79902,0.86607,0.50441
roc_auc,56,0.87326,0.88434,0.51447
roc_auc,57,0.82282,0.87348,0.51235
roc_auc,58,0.75412,0.8437,0.49277
roc_auc,59,0.85389,0.87101,0.48543
roc_auc,60,0.84801,0.86583,0.50773
roc_auc,61,0.8295,0.8794,0.47835
roc_auc,62,0.79166,0.85965,0.50704
roc_auc,63,0.82385,0.88031,0.51808
roc_auc,64,0.83395,0.878,0.54746
roc_auc,65,0.78491,0.87608,0.50677
roc_auc,66,0.85145,0.87307,0.51674
roc_auc,67,0.83506,0.88323,0.50543
roc_auc,68,0.83925,0.87447,0.54443
roc_auc,69,0.81754,0.89699,0.50374
roc_auc,70,0.8059,0.87796,0.48569
roc_auc,71,0.83919,0.87755,0.50138
roc_auc,72,0.8619,0.88969,0.49634
roc_auc,73,0.8257,0.89034,0.5067
roc_auc,74,0.78999,0.82749,0.50576
roc_auc,75,0.833,0.86054,0.5294
roc_auc,76,0.82612,0.88776,0.5084
roc_auc,77,0.82134,0.90523,0.49674
roc_auc,78,0.87012,0.89953,0.5034
roc_auc,79,0.78885,0.84911,0.51902
roc_auc,80,0.86341,0.89119,0.48274
roc_auc,81,0.81263,0.88494,0.49041
roc_auc,82,0.84168,0.87286,0.49674
roc_auc,83,0.80134,0.89314,0.4764
roc_auc,84,0.85245,0.8581,0.4917
roc_auc,85,0.80206,0.88054,0.50838
roc_auc,86,0.82029,0.88186,0.48273
roc_auc,87,0.8073,0.8154,0.5191
roc_auc,88,0.82739,0.91588,0.48907
roc_auc,89,0.8469,0.86723,0.49977
roc_auc,90,0.81211,0.8813,0.50138
roc_auc,91,0.82575,0.87027,0.50415
roc_auc,92,0.82812,0.86987,0.49844
roc_auc,93,0.83527,0.87855,0.50011
roc_auc,94,0.81414,0.87237,0.4931
roc_auc,95,0.83474,0.87541,0.49741
roc_auc,96,0.8404,0.88774,0.4954
roc_auc,97,0.79187,0.87594,0.51674
roc_auc,98,0.82802,0.87768,0.51269
roc_auc,99,0.85366,0.85848,0.50441
roc_auc,100,0.87407,0.91859,0.50173
roc_auc,101,0.82506,0.88119,0.49269
roc_auc,102,0.77225,0.8526,0.5164
roc_auc,103,0.82349,0.86092,0.49648
roc_auc,104,0.84491,0.88642,0.48308
roc_auc,105,0.85077,0.90463,0.52172
roc_auc,106,0.8026,0.84923,0.49539
roc_auc,107,0.7877,0.88007,0.50239
roc_auc,108,0.82164,0.88533,0.49642
roc_auc,109,0.83399,0.89505,0.49074
roc_auc,110,0.84438,0.86485,0.51741
roc_auc,111,0.80491,0.8344,0.49775
roc_auc,112,0.7981,0.86003,0.49305
roc_auc,113,0.80213,0.87462,0.4937
roc_auc,114,0.85272,0.90335,0.50205
roc_auc,115,0.8619,0.89912,0.49041
roc_auc,116,0.85681,0.88615,0.49244
roc_auc,117,0.81594,0.87353,0.48239
roc_auc,118,0.86026,0.88552,0.5294
roc_auc,119,0.76809,0.84174,0.54468
